Table 10,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2019",,,,,,,,,,,
[The data shown in this table do not reflect county totals but are the number of offenses reported by the sheriff's office or county police department.],,,,,,,,,,,
State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,Howard6,17,0,2,1,14,35,8,22,5,0
,Jefferson,386,3,36,27,320,"2,722",621,"1,656",445,12
,Platte,48,0,15,1,32,290,54,186,50,1
,Polk,34,0,9,0,25,326,100,201,25,0
,St. Charles6,0,0,0,0,0,0,0,0,0,0
,St. Charles County Police Department6,139,2,22,13,102,757,129,547,81,6
,St. Louis County Police Department,"1,821",44,188,342,"1,247","8,077","1,365","5,390","1,322",58
,Webster,9,1,0,0,8,178,61,97,20,0
MISSOURI - Nonmetropolitan Counties,Adair,5,0,0,0,5,97,45,45,7,1
,Benton,22,2,1,0,19,214,70,114,30,
,Camden6,89,1,18,2,68,413,187,186,40,2
,Carroll,6,0,1,0,5,32,12,9,11,0
,Carter6,21,0,2,0,19,54,23,20,11,0
,Cedar,36,0,3,0,33,53,16,37,0,1
,Dade,45,0,0,0,45,65,25,36,4,1
,Daviess,17,0,0,0,17,29,10,14,5,0
,Dent,12,1,5,1,5,71,46,22,3,
,Gasconade,49,1,0,1,47,178,51,94,33,0
,Gentry,1,0,0,0,1,30,14,11,5,0
,Grundy,2,0,0,0,2,15,7,7,1,0
,Harrison,3,0,0,0,3,33,17,12,4,0
,Henry,78,0,5,1,72,267,117,112,38,9
,Hickory,1,0,0,0,1,81,29,43,9,0
,Howell,70,1,0,2,67,349,69,188,92,0
,Iron,4,0,1,0,3,63,21,28,14,
,Laclede,49,0,13,1,35,333,86,197,50,1
,Lawrence,17,1,2,3,11,224,69,130,25,0
,Linn,8,0,0,0,8,20,7,11,2,0
,Livingston,2,0,0,0,2,26,8,17,1,0
,Macon,4,0,2,1,1,66,30,35,1,0
,Madison,0,0,0,0,0,0,0,0,0,0
,Mercer,0,0,0,0,0,2,1,1,0,0
,Oregon,29,0,3,0,26,91,43,33,15,0
,Ozark,20,0,2,0,18,45,21,18,6,0
,Pemiscot,22,2,4,2,14,80,26,43,11,
,Perry,31,0,0,0,31,39,19,13,7,0
,Pulaski,157,0,12,4,141,346,103,205,38,0
,Ralls,30,0,0,1,29,82,30,43,9,0
,Randolph,11,0,1,0,10,101,31,57,13,1
,Schuyler,4,1,0,0,3,36,6,25,5,0
,Shannon,17,0,2,0,15,22,4,13,5,1
,Shelby,3,0,1,0,2,8,3,4,1,0
,St. Clair,15,0,2,2,11,111,32,64,15,2
,Ste. Genevieve,53,0,7,0,46,128,23,88,17,0
,Stoddard6,52,0,5,3,44,214,66,126,22,0
,Taney,82,0,4,6,72,298,73,174,51,2
,Texas,39,1,1,2,35,131,46,54,31,1
,Wayne,23,0,2,0,21,171,58,91,22,2
,Worth,6,0,0,0,6,6,0,4,2,0
MONTANA - Metropolitan Counties,Carbon,21,0,2,1,18,43,10,25,8,0
,Cascade4,,,4,3,69,248,57,157,34,4
,Stillwater,18,0,3,0,15,52,8,36,8,1
,Yellowstone,143,3,18,6,116,656,85,482,89,4
MONTANA - Nonmetropolitan Counties,Beaverhead,3,0,0,0,3,4,2,2,0,0
,Big Horn,53,0,6,2,45,46,2,36,8,1
,Broadwater,27,0,5,0,22,31,6,22,3,0
,Butte-Silver Bow,120,0,9,6,105,"1,372",154,"1,070",148,4
,Carter,0,0,0,0,0,0,0,0,0,0
,Custer,6,0,0,0,6,29,2,21,6,0
,Dawson,10,0,2,0,8,12,4,7,1,1
,Deer Lodge,13,0,1,0,12,268,66,176,26,1
,Fergus,13,0,2,0,11,32,3,20,9,2
,Flathead,191,2,36,6,147,862,141,622,99,4
,Gallatin,86,0,25,0,61,392,25,333,34,1
,Garfield,0,0,0,0,0,0,0,0,0,0
,Golden Valley,2,0,0,0,2,7,3,4,0,0
,Hill,22,1,3,1,17,146,10,119,17,4
,Jefferson,23,0,2,0,21,83,27,42,14,0
,Lake,81,3,10,1,67,260,52,163,45,3
,Lewis and Clark,63,1,12,1,49,330,74,201,55,3
,Lincoln,22,0,2,0,20,69,6,56,7,0
,Madison,10,0,2,0,8,50,11,31,8,1
,McCone,0,0,0,0,0,4,1,3,0,0
,Meagher,6,0,0,0,6,8,3,5,0,0
,Musselshell,11,0,1,0,10,28,2,21,5,2
,Park,12,0,6,0,6,26,2,21,3,0
,Phillips,15,0,2,0,13,52,8,34,10,0
,Powell,12,1,3,0,8,19,4,8,7,1
,Prairie,11,0,0,0,11,1,0,1,0,1
,Ravalli,65,0,11,0,54,266,50,196,20,3
,Richland,14,0,1,0,13,32,7,20,5,0
,Roosevelt,60,0,3,3,54,65,26,26,13,2
,Sanders,5,0,1,0,4,35,5,27,3,0
,Sweet Grass,20,1,3,0,16,46,2,36,8,0
,Teton,9,0,3,0,6,28,5,18,5,0
,Toole,30,0,4,0,26,51,4,43,4,0
,Valley,22,0,3,0,19,15,1,13,1,0
,Wheatland,9,0,0,0,9,7,0,6,1,0
NEBRASKA - Metropolitan Counties,Cass,27,0,12,1,14,138,13,104,21,1
,Dixon,2,0,0,0,2,30,8,18,4,0
,Douglas,71,1,18,6,46,605,155,384,66,5
,Hall,35,0,2,1,32,113,31,73,9,0
,Lancaster,20,0,15,0,5,146,41,86,19,
,Merrick,3,0,1,0,2,3,1,1,1,0
,Sarpy,35,0,17,3,15,798,57,631,110,0
,Saunders,8,0,1,0,7,65,23,34,8,0
,Seward,3,0,0,0,3,16,7,4,5,1
,Washington,2,0,0,0,2,79,15,56,8,0
NEBRASKA - Nonmetropolitan Counties,Adams,4,0,2,0,2,72,13,54,5,0
,Arthur,0,0,0,0,0,0,0,0,0,
,Boone,2,0,1,0,1,15,4,10,1,1
,Box Butte,4,0,0,0,4,14,2,8,4,
,Buffalo,13,1,4,0,8,87,20,58,9,2
,Burt6,3,0,1,0,2,20,10,7,3,
,Butler,6,0,2,0,4,28,8,15,5,0
,Cedar,3,0,0,0,3,27,0,23,4,
,Chase6,2,1,0,0,1,6,3,2,1,0
,Cherry,2,0,0,0,2,9,2,3,4,
,Cheyenne,7,0,1,0,6,14,1,11,2,1
,Colfax,9,0,3,0,6,27,4,21,2,1
,Cuming,6,0,4,0,2,3,1,1,1,0
,Custer,6,0,2,0,4,35,3,29,3,0
,Dawson,18,1,4,0,13,36,16,19,1,0
,Deuel,4,0,0,0,4,5,0,5,0,0
,Dodge,3,0,1,0,2,92,26,59,7,
,Fillmore,5,0,3,0,2,16,4,11,1,0
,Franklin,0,0,0,0,0,10,2,6,2,
,Frontier,3,0,1,0,2,24,3,20,1,0
,Furnas,7,0,2,0,5,57,13,35,9,0
,Gage,11,0,0,1,10,77,16,54,7,0
,Gosper,2,0,0,0,2,9,1,7,1,0
,Greeley6,0,0,0,0,0,0,0,0,0,0
,Hamilton,2,0,1,0,1,20,5,12,3,0
,Holt6,1,0,1,0,0,2,0,2,0,0
,Hooker6,0,0,0,0,0,0,0,0,0,0
,Jefferson,14,0,2,0,12,95,28,62,5,0
,Johnson,5,0,2,0,3,39,6,25,8,1
,Kearney,6,0,4,0,2,40,13,23,4,0
,Keith,3,0,0,0,3,17,1,14,2,0
,Keya Paha,2,0,0,0,2,0,0,0,0,
,Knox6,0,0,0,0,0,29,3,16,10,
,Lincoln,16,0,5,2,9,66,20,36,10,0
,Madison,10,0,3,0,7,19,4,14,1,0
,Nemaha,10,0,3,2,5,17,5,8,4,0
,Perkins,0,0,0,0,0,24,4,17,3,0
,Platte,8,0,2,0,6,69,11,50,8,0
,Polk,0,0,0,0,0,20,1,19,0,0
,Saline,7,0,0,0,7,46,13,29,4,1
,Scotts Bluff,10,0,2,0,8,54,16,28,10,0
,Sherman,5,0,0,0,5,23,5,18,0,0
,Stanton,2,1,0,0,1,29,1,22,6,
,Thayer6,4,0,2,0,2,25,8,12,5,0
,Thurston,7,0,1,0,6,13,5,7,1,0
,Valley,5,0,3,0,2,4,0,1,3,0
,Wayne,6,0,1,0,5,10,5,2,3,1
,Wheeler,0,0,0,0,0,1,0,1,0,0
,York,3,0,3,0,0,21,2,14,5,0
NEVADA - Metropolitan Counties,Storey,31,0,5,1,25,74,20,47,7,0
,Washoe6,223,2,32,18,171,616,160,370,86,7
NEVADA - Nonmetropolitan Counties,Churchill,20,0,11,0,9,186,56,113,17,2
,Elko,57,1,11,0,45,176,40,111,25,1
,Esmeralda,6,0,1,1,4,6,1,4,1,1
,Eureka,22,0,4,0,18,27,13,11,3,0
,Humboldt,26,0,1,2,23,76,41,29,6,
,Lander,62,2,23,0,37,56,25,26,5,2
,Lyon,179,0,18,7,154,522,102,349,71,4
,Mineral,4,0,1,0,3,48,3,38,7,3
,Nye,113,2,5,21,85,715,167,404,144,0
,Pershing,26,1,11,1,13,39,11,22,6,
NEW HAMPSHIRE - Metropolitan Counties,Rockingham,0,0,0,0,0,3,0,3,0,0
,Strafford,3,0,1,0,2,4,0,3,1,1
NEW HAMPSHIRE - Nonmetropolitan Counties,Carroll,4,0,0,0,4,49,7,38,4,0
,Cheshire,0,0,0,0,0,7,2,5,0,0
,Grafton,4,0,4,0,0,4,0,4,0,0
,Merrimack,1,0,1,0,0,1,1,0,0,0
NEW JERSEY - Metropolitan Counties,Atlantic,0,0,0,0,0,0,0,0,0,0
,Bergen,2,0,2,0,0,46,2,44,0,0
,Burlington,0,0,0,0,0,0,0,0,0,0
,Camden,2,0,0,0,2,44,4,38,2,0
,Cape May,0,0,0,0,0,0,0,0,0,0
,Cumberland,0,0,0,0,0,1,0,1,0,0
,Essex,131,0,9,35,87,135,5,127,3,8
,Gloucester,0,0,0,0,0,0,0,0,0,0
,Hudson,0,0,0,0,0,0,0,0,0,0
,Hunterdon,0,0,0,0,0,0,0,0,0,0
,Mercer,2,0,0,0,2,14,1,6,7,0
,Middlesex,0,0,0,0,0,0,0,0,0,0
,Monmouth,7,0,0,0,7,1,0,1,0,0
,Morris,0,0,0,0,0,0,0,0,0,0
,Ocean,0,0,0,0,0,8,0,8,0,0
,Passaic,0,0,0,0,0,0,0,0,0,0
,Salem,0,0,0,0,0,0,0,0,0,0
,Somerset,1,0,0,0,1,1,0,1,0,0
,Sussex,0,0,0,0,0,0,0,0,0,0
,Union,0,0,0,0,0,0,0,0,0,0
,Warren,0,0,0,0,0,0,0,0,0,0
NEW MEXICO - Metropolitan Counties,Sandoval,144,0,1,1,142,102,43,59,0,
,Santa Fe,103,0,6,7,90,414,258,156,0,
,Torrance,65,0,5,1,59,105,57,25,23,
,Valencia,376,3,17,6,350,907,315,421,171,
NEW MEXICO - Nonmetropolitan Counties,Catron,1,0,0,0,1,15,9,6,0,
,Chaves,54,3,9,3,39,223,90,98,35,
,Cibola,12,0,2,0,10,37,14,16,7,
,Colfax,3,0,0,0,3,8,5,3,0,
,De Baca,4,0,1,0,3,15,11,2,2,
,Grant,24,0,5,0,19,112,52,60,0,
,Guadalupe,0,0,0,0,0,6,0,6,0,
,Hidalgo,10,0,0,0,10,17,5,7,5,
,Lea,60,4,4,5,47,342,112,160,70,
,Lincoln,43,2,1,2,38,118,52,55,11,
,Luna,63,0,1,1,61,222,97,98,27,
,McKinley,183,1,0,7,175,222,89,86,47,
,Otero,149,0,13,2,134,272,108,138,26,
,Quay,1,0,0,0,1,13,6,7,0,
,San Miguel,0,0,0,0,0,2,0,2,0,
,Sierra,43,1,7,0,35,71,26,41,4,
,Socorro,15,0,0,1,14,61,13,42,6,
,Taos,28,2,2,2,22,93,43,30,20,
,Union,2,0,0,0,2,15,3,10,2,
NEW YORK - Metropolitan Counties,Albany,25,1,4,1,19,121,21,90,10,0
,Broome,51,0,22,11,18,486,60,403,23,1
,Chemung,9,0,2,0,7,221,18,198,5,0
,Dutchess,38,0,12,6,20,353,48,279,26,2
,Erie,50,0,0,2,48,505,72,411,22,7
,Herkimer,0,0,0,0,0,1,1,0,0,0
,Jefferson,28,0,5,0,23,227,18,204,5,1
,Livingston,32,0,14,3,15,283,31,250,2,1
,Madison,20,0,6,0,14,85,15,68,2,0
,Monroe,209,0,44,42,123,"2,341",264,"2,001",76,2
,Nassau,"1,179",9,40,339,791,"9,655",583,"8,677",395,35
,Niagara,56,0,14,6,36,475,78,372,25,0
,Oneida,70,0,48,3,19,309,53,240,16,0
,Onondaga,191,0,49,29,113,"1,518",210,"1,204",104,9
,Ontario,69,2,26,5,36,669,87,571,11,0
,Orleans,15,0,6,1,8,115,19,87,9,0
,Oswego,33,1,17,3,12,268,40,202,26,0
,Putnam,18,0,4,4,10,127,15,108,4,0
,Rensselaer,18,0,5,5,8,230,21,199,10,1
,Schoharie,5,0,1,0,4,18,2,13,3,3
,Suffolk,34,0,0,0,34,0,0,0,0,0
,Suffolk County Police Department,"1,183",24,159,281,719,"14,828",891,"13,161",776,42
,Tioga,7,0,5,1,1,140,45,89,6,1
,Ulster,21,0,6,1,14,145,25,115,5,0
,Washington,30,0,26,1,3,67,12,55,0,0
,Wayne,63,0,16,7,40,333,81,237,15,3
,Westchester Public Safety,30,0,1,2,27,199,10,182,7,2
,Yates,12,0,3,0,9,98,31,66,1,0
NEW YORK - Nonmetropolitan Counties,Allegany,3,0,0,0,3,7,0,3,4,0
,Cattaraugus,48,0,13,0,35,202,44,136,22,6
,Chautauqua,33,1,16,2,14,428,148,266,14,9
,Chenango,32,0,15,1,16,274,71,194,9,1
,Clinton,11,0,0,0,11,34,3,31,0,0
,Columbia,25,1,6,1,17,251,54,189,8,3
,Delaware,22,0,12,0,10,151,46,100,5,0
,Essex,2,0,0,0,2,4,0,4,0,0
,Franklin,0,0,0,0,0,0,0,0,0,0
,Fulton,22,0,9,1,12,288,34,247,7,0
,Greene,13,0,2,3,8,26,7,19,0,2
,Hamilton,1,0,0,0,1,6,1,5,0,0
,Lewis,12,0,4,0,8,54,18,33,3,0
,Montgomery,6,0,0,1,5,212,8,192,12,1
,Otsego,13,0,5,0,8,29,3,24,2,1
,Schuyler,5,0,1,0,4,10,2,7,1,0
,Seneca,2,0,1,0,1,43,2,41,0,0
,Steuben,9,0,2,0,7,47,13,31,3,1
,St. Lawrence,11,0,2,1,8,25,8,15,2,0
,Sullivan,27,0,6,1,20,273,34,234,5,1
,Wyoming,17,0,7,1,9,96,20,76,0,0
NORTH CAROLINA - Metropolitan Counties6,Alamance,118,3,11,10,94,649,230,368,51,4
,Alexander,86,8,27,1,50,429,138,247,44,3
,Anson,26,3,4,3,16,181,92,82,7,1
,Buncombe,219,0,14,27,178,"1,830",520,"1,071",239,19
,Burke,110,4,16,9,81,"1,045",349,553,143,3
,Cabarrus,38,2,3,8,25,640,156,435,49,6
,Caldwell,75,2,18,9,46,"1,199",439,594,166,13
,Camden,11,0,0,1,10,74,32,38,4,1
,Chatham,60,0,13,6,41,478,173,278,27,9
,Craven,119,4,8,11,96,919,399,436,84,3
,Cumberland,458,3,43,65,347,"1,964",494,"1,324",146,63
,Currituck,63,0,8,1,54,268,69,187,12,2
,Franklin,77,1,8,5,63,616,198,368,50,4
,Gaston,17,0,0,0,17,5,0,4,1,0
,Granville,57,1,5,3,48,316,99,198,19,3
,Guilford,206,3,8,28,167,"1,063",399,561,103,14
,Haywood,118,0,21,2,95,835,366,405,64,6
,Iredell,121,2,5,10,104,780,361,356,63,7
,Johnston,152,3,16,17,116,"1,463",404,950,109,11
,Lincoln,131,1,14,10,106,943,214,655,74,5
,Madison,14,0,2,0,12,178,74,82,22,4
,New Hanover,179,0,25,24,130,"1,593",264,"1,269",60,14
,Onslow,214,3,26,19,166,"1,773",504,"1,161",108,13
,Pamlico,25,0,5,0,20,206,60,127,19,1
,Person,56,0,2,2,52,357,151,185,21,6
,Pitt,138,3,8,22,105,915,315,541,59,6
,Rockingham,70,1,22,10,37,700,232,415,53,0
,Rowan,149,4,16,16,113,999,265,636,98,11
,Union,235,3,77,23,132,"1,987",419,"1,449",119,7
,Wake,215,6,16,24,169,"1,376",375,857,144,22
,Wayne,206,2,2,24,178,"1,181",458,574,149,6
,Yadkin,66,1,11,4,50,451,130,286,35,4
NORTH CAROLINA - Nonmetropolitan Counties6,Alleghany,19,0,11,1,7,72,26,39,7,1
,Ashe,57,0,14,1,42,151,68,71,12,1
,Avery,18,0,2,0,16,179,92,79,8,2
,Bladen,65,0,3,4,58,481,158,273,50,5
,Carteret,69,2,16,3,48,640,199,408,33,4
,Cherokee,68,0,13,4,51,763,228,477,58,7
,Chowan,21,0,3,1,17,95,47,42,6,0
,Dare,12,1,3,0,8,239,53,176,10,1
,Greene,60,4,24,2,30,304,131,145,28,1
,Hertford,28,5,4,11,8,184,62,102,20,2
,Macon,25,0,5,1,19,476,136,307,33,4
,McDowell,59,1,8,5,45,881,380,411,90,12
,Mitchell,2,0,0,1,1,55,24,28,3,1
,Moore,62,1,9,7,45,580,173,385,22,3
,Pasquotank,64,0,6,7,51,233,93,118,22,4
,Richmond,178,2,21,27,128,"1,007",411,505,91,11
,Robeson,717,22,12,90,593,"2,525","1,238","1,110",177,39
,Sampson,195,4,22,24,145,877,425,385,67,12
,Scotland,59,1,5,12,41,325,170,128,27,8
,Stanly,24,1,3,2,18,481,203,240,38,2
,Swain,27,2,4,2,19,242,118,91,33,0
,Transylvania,38,0,14,0,24,257,78,163,16,3
,Tyrrell,4,0,1,0,3,23,10,12,1,0
,Vance,125,4,12,8,101,546,206,299,41,13
,Warren,40,4,8,5,23,216,101,101,14,2
,Watauga,30,4,2,1,23,266,85,159,22,3
,Wilkes,132,3,27,8,94,676,241,349,86,8
,Yancey,5,0,0,1,4,47,17,26,4,1
NORTH DAKOTA - Metropolitan Counties,Burleigh,12,0,5,0,7,97,23,60,14,1
,Cass,18,0,4,2,12,141,49,71,21,1
,Grand Forks,15,0,4,0,11,89,18,52,19,0
,Morton,3,0,0,0,3,113,18,85,10,1
,Oliver,0,0,0,0,0,3,1,1,1,0
NORTH DAKOTA - Nonmetropolitan Counties,Adams,2,0,1,0,1,9,2,6,1,0
,Barnes,2,0,0,0,2,18,6,10,2,0
,Benson,1,0,0,0,1,13,2,7,4,0
,Billings,0,0,0,0,0,6,1,5,0,0
,Bottineau,4,0,4,0,0,55,14,29,12,0
,Bowman,1,0,1,0,0,10,3,3,4,0
,Burke,0,0,0,0,0,2,2,0,0,0
,Cavalier,2,0,1,0,1,11,3,6,2,0
,Dickey,0,0,0,0,0,8,4,4,0,0
,Divide,2,0,1,0,1,6,0,5,1,0
,Dunn,5,0,1,0,4,14,3,9,2,0
,Eddy,1,0,1,0,0,20,3,13,4,0
,Emmons,3,0,1,0,2,28,7,20,1,0
,Foster,0,0,0,0,0,10,1,4,5,0
,Golden Valley,0,0,0,0,0,0,0,0,0,0
,Grant,1,0,1,0,0,5,1,4,0,0
,Griggs,3,0,2,0,1,6,1,4,1,0
,Hettinger,1,0,0,0,1,22,2,15,5,0
,Kidder,0,0,0,0,0,7,3,4,0,0
,Lamoure,3,0,0,0,3,4,1,2,1,0
,Logan,2,0,0,0,2,0,0,0,0,0
,McHenry,6,0,2,0,4,34,7,20,7,1
,McIntosh,0,0,0,0,0,0,0,0,0,0
,McKenzie,15,0,8,0,7,167,25,114,28,1
,McLean,12,0,3,0,9,79,21,52,6,0
,Mercer,1,0,1,0,0,16,10,5,1,0
,Mountrail,2,1,1,0,0,58,4,48,6,0
,Nelson,5,0,0,0,5,15,4,9,2,0
,Pembina,6,0,0,0,6,36,11,20,5,0
,Pierce,0,0,0,0,0,11,3,7,1,0
,Ramsey,3,0,1,0,2,18,2,12,4,0
,Ransom,3,1,0,0,2,26,11,9,6,1
,Renville,2,0,1,0,1,24,5,17,2,0
,Richland,8,0,0,0,8,94,27,51,16,0
,Rolette,4,0,1,0,3,38,9,23,6,0
,Sargent,7,0,1,0,6,21,10,10,1,2
,Sheridan,1,0,0,0,1,4,1,3,0,0
,Sioux,0,0,0,0,0,0,0,0,0,0
,Slope,0,0,0,0,0,1,1,0,0,0
,Stark,5,0,0,0,5,55,9,42,4,1
,Steele,0,0,0,0,0,1,0,1,0,0
,Stutsman,2,0,1,0,1,33,11,12,10,0
,Towner,0,0,0,0,0,16,3,9,4,1
,Traill,3,0,1,0,2,54,18,28,8,2
,Walsh,7,1,2,0,4,96,35,52,9,0
,Ward,38,1,9,2,26,182,65,82,35,5
,Wells,3,0,1,0,2,7,5,1,1,1
,Williams,15,0,5,0,10,166,37,102,27,1
OHIO - Metropolitan Counties,Allen,38,1,14,13,10,582,115,437,30,4
,Belmont,42,0,12,3,27,205,35,151,19,2
,Carroll,2,0,0,0,2,71,21,41,9,0
,Clermont,111,0,23,3,85,897,269,582,46,1
,Fairfield,52,0,14,5,33,"1,039",139,855,45,2
,Fulton,14,0,5,2,7,167,32,132,3,1
,Geauga,10,0,6,1,3,134,28,94,12,0
,Greene,36,0,12,4,20,348,86,240,22,3
,Hamilton,176,4,69,22,81,"2,025",235,"1,621",169,13
,Hocking,28,4,6,2,16,346,108,210,28,3
,Jefferson,10,0,1,0,9,44,10,33,1,1
,Lawrence,65,2,18,6,39,446,112,303,31,4
,Licking,53,0,16,3,34,793,179,555,59,1
,Lorain,60,0,16,9,35,509,167,323,19,1
,Lucas,93,0,8,18,67,801,110,640,51,1
,Madison,20,0,12,2,6,264,56,183,25,2
,Mahoning,1,0,1,0,0,57,8,44,5,0
,Medina,11,0,4,0,7,166,98,64,4,0
,Miami,38,0,10,2,26,280,98,166,16,4
,Montgomery,279,3,43,76,157,"1,051",288,615,148,17
,Perry,13,0,7,2,4,124,38,75,11,1
,Pickaway,22,1,1,3,17,546,130,386,30,5
,Portage8,,1,,39,304,916,190,688,38,4
,Richland,61,1,34,6,20,757,166,562,29,1
,Stark,107,2,36,10,59,"1,544",401,"1,019",124,12
,Summit,80,0,22,14,44,944,176,705,63,3
,Union,21,0,3,2,16,126,28,86,12,1
,Wood,13,0,6,0,7,301,42,240,19,0
OHIO - Nonmetropolitan Counties,Adams,8,0,3,1,4,186,45,119,22,2
,Ashland,37,1,23,0,13,103,25,74,4,0
,Ashtabula,32,0,2,3,27,457,104,320,33,1
,Auglaize,3,0,1,0,2,45,10,31,4,0
,Champaign,25,0,4,0,21,153,39,102,12,0
,Columbiana,37,1,15,1,20,315,63,222,30,3
,Coshocton,40,4,15,1,20,345,73,244,28,11
,Crawford,3,0,1,0,2,92,32,58,2,0
,Defiance,14,0,6,1,7,117,25,90,2,1
,Erie,1,0,0,0,1,189,40,144,5,1
,Fayette,19,0,8,4,7,307,76,219,12,2
,Gallia,32,1,9,0,22,294,77,192,25,2
,Hancock,14,0,4,1,9,127,31,91,5,1
,Hardin,13,0,2,0,11,68,22,42,4,1
,Henry,13,0,3,1,9,109,36,64,9,0
,Highland,38,4,17,3,14,305,91,199,15,0
,Jackson,26,0,14,1,11,229,82,125,22,1
,Knox,56,0,21,2,33,330,58,272,0,4
,Logan,31,0,8,1,22,171,45,114,12,0
,Marion,38,0,13,2,23,935,136,763,36,4
,Meigs,16,1,1,1,13,230,76,125,29,0
,Monroe,12,0,3,0,9,64,36,24,4,0
,Morgan,29,0,2,1,26,80,22,47,11,0
,Noble,5,0,3,0,2,36,7,27,2,0
,Paulding,30,1,1,0,28,104,23,80,1,0
,Pike,33,3,7,1,22,464,93,270,101,5
,Putnam,15,1,9,2,3,90,19,66,5,0
,Ross,114,3,33,5,73,"1,041",285,631,125,12
,Scioto,48,0,12,7,29,633,177,394,62,6
,Shelby,12,1,1,1,9,131,27,97,7,2
,Tuscarawas,22,0,9,1,12,241,83,130,28,3
,Van Wert,16,0,6,0,10,106,40,60,6,1
,Vinton,10,0,1,0,9,78,23,43,12,0
,Washington,34,4,8,3,19,172,51,102,19,0
,Wayne,44,0,14,5,25,473,164,277,32,1
,Wyandot,3,0,0,0,3,3,2,0,1,0
OKLAHOMA - Metropolitan Counties,Canadian,19,1,6,1,11,151,31,93,27,2
,Cleveland,30,1,5,1,23,245,79,135,31,1
,Comanche,17,0,4,0,13,215,100,79,36,4
,Cotton,0,0,0,0,0,21,3,16,2,1
,Creek,65,2,14,3,46,374,126,178,70,3
,Garfield,12,0,3,0,9,157,38,107,12,2
,Grady,24,0,4,1,19,321,86,177,58,4
,Lincoln,48,1,12,4,31,289,110,132,47,4
,Logan,36,0,9,3,24,384,136,194,54,1
,McClain,27,1,4,1,21,280,109,134,37,3
,Oklahoma,35,1,2,2,30,227,72,94,61,0
,Okmulgee,42,2,10,2,28,216,111,70,35,2
,Osage,56,5,8,3,40,332,140,153,39,7
,Rogers,109,3,11,2,93,472,187,216,69,4
,Sequoyah,88,2,16,1,69,301,122,155,24,7
,Tulsa,228,6,18,16,188,924,321,416,187,7
,Wagoner,48,1,5,5,37,295,115,150,30,10
OKLAHOMA - Nonmetropolitan Counties,Adair,38,1,11,1,25,159,59,79,21,4
,Alfalfa,1,0,0,0,1,26,10,13,3,0
,Atoka,5,0,1,0,4,68,24,27,17,0
,Beaver,0,0,0,0,0,14,4,8,2,0
,Beckham,9,0,2,0,7,77,34,33,10,3
,Blaine,10,0,3,0,7,104,38,56,10,1
,Bryan,30,0,7,1,22,321,138,137,46,2
,Caddo,12,0,1,0,11,165,72,73,20,5
,Carter,29,0,16,3,10,208,64,119,25,4
,Cherokee,69,4,6,5,54,461,169,213,79,4
,Choctaw,47,0,0,0,47,79,28,34,17,0
,Cimarron,0,0,0,0,0,10,2,4,4,0
,Coal,0,0,0,0,0,4,2,1,1,0
,Craig,13,0,4,0,9,106,45,48,13,5
,Custer,12,1,2,0,9,113,44,56,13,0
,Delaware,46,0,8,3,35,263,67,156,40,5
,Dewey,2,0,2,0,0,40,16,19,5,1
,Ellis,7,0,1,0,6,51,16,30,5,2
,Garvin,30,0,8,1,21,269,80,167,22,11
,Grant,3,0,0,0,3,31,11,14,6,1
,Harmon,2,0,1,0,1,9,2,7,0,0
,Haskell,7,0,1,0,6,66,29,29,8,1
,Hughes,8,0,1,0,7,121,27,81,13,2
,Jackson,15,0,3,0,12,46,15,22,9,1
,Jefferson,11,0,2,0,9,18,8,6,4,0
,Johnston,14,2,4,1,7,32,14,11,7,1
,Kay,24,0,0,0,24,68,33,28,7,0
,Kingfisher,13,0,3,0,10,84,9,66,9,1
,Kiowa,5,0,1,0,4,26,10,12,4,1
,Latimer,15,0,1,1,13,85,34,36,15,3
,Le Flore,37,0,4,2,31,281,88,152,41,3
,Love,18,0,4,4,10,100,19,65,16,2
,Major,5,0,2,0,3,30,10,13,7,1
,Marshall,19,3,2,2,12,209,78,92,39,0
,Mayes,38,0,12,1,25,327,90,170,67,7
,McCurtain,29,0,8,1,20,318,124,145,49,15
,McIntosh,37,1,7,1,28,221,104,87,30,3
,Murray,10,0,2,0,8,10,6,3,1,0
,Muskogee,73,0,7,2,64,295,124,144,27,5
,Noble,6,0,1,0,5,76,25,36,15,2
,Nowata,12,0,1,0,11,65,20,28,17,2
,Okfuskee,13,1,3,1,8,145,63,63,19,3
,Ottawa,15,0,5,0,10,122,31,63,28,1
,Payne,25,3,1,0,21,221,64,116,41,5
,Pittsburg,55,3,9,1,42,422,195,186,41,2
,Pontotoc,21,0,4,0,17,143,65,64,14,0
,Pottawatomie,65,1,20,4,40,540,188,271,81,1
,Pushmataha,14,0,0,0,14,91,44,39,8,6
,Roger Mills,9,0,0,0,9,31,5,23,3,2
,Seminole,29,0,8,1,20,257,103,123,31,7
,Stephens,19,0,3,0,16,152,49,80,23,0
,Texas,9,0,3,0,6,51,13,34,4,1
,Tillman,1,0,0,0,1,27,14,11,2,0
,Washita,14,0,2,0,12,52,8,37,7,1
,Woods,6,0,1,0,5,23,4,14,5,0
