Program,Total residents per year,Pass %,,,,,,,,,,,
"Atlantic Health (Overlook) Program Summit, New Jersey
1203311195                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Virtua Program Voorhees, New Jersey
1203312667                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"UMDNJ-Robert Wood Johnson at CentraState Program Freehold, New Jersey
1203312679                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Rutgers Robert Wood Johnson Medical School Program New Brunswick, New Jersey
1203321419                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Warren Hospital Program Phillipsburg, New Jersey
1203321436                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Inspira Health Network Graduate Medical Education Family Medicine Woodbury Woodbury, New Jersey
1203321445                                                                                                                                                                                                                          2/5/2021",4,95.00%,,,,,,,,,,,
"UMDNJ-Robert Wood Johnson Medical School/Capital Health System-Fuld Campus Program Trenton, New Jersey
1203321559                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Hidalgo Medical Services Program Silver City, New Mexico
1203400708                                                                                                                                                                                                                          2/5/2021",2,88.89%,,,,,,,,,,,
"Memorial Medical Center Program Alamogordo, New Mexico
1203400709                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"University of New Mexico Program Albuquerque, New Mexico
1203421197                                                                                                                                                                                                                          2/5/2021",13,100.00%,,,,,,,,,,,
"Memorial Medical Center (Las Cruces) Program Las Cruces, New Mexico
1203421577                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"University of New Mexico (Santa Fe) Rural Program Santa Fe, New Mexico
1203421595                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"Institute for Family Health (Harlem) Program New York, New York
1203500723                                                                                                                                                                                                                          2/5/2021",9,92.86%,,,,,,,,,,,
"University of Vermont Health Network-Champlain Valley Physicians Hospital Program Plattsburgh, New York
1203500724                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Hofstra Northwell School of Medicine at Plainview Hospital Program Plainview, New York
1203500726                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Rochester General Hospital Program Batavia, New York
1203500727                                                                                                                                                                                                                          2/5/2021",1,,,,,,,,,,,,
"Good Samaritan Hospital Medical Center Program West Islip, New York
1203500728                                                                                                                                                                                                                          2/5/2021",4,,,,,,,,,,,,
"Arnot Ogden Medical Center Program Elmira, New York
1203500729                                                                                                                                                                                                                          2/5/2021",4,91.67%,,,,,,,,,,,
"NYCOMEC Program Middletown, New York
1203500730                                                                                                                                                                                                                          2/5/2021",1,0.00%,,,,,,,,,,,
"St. John's Episcopal Hospital-South Shore Program Far Rockaway, New York
1203500731                                                                                                                                                                                                                          2/5/2021",3,71.43%,,,,,,,,,,,
"Samaritan Medical Center Program Watertown, New York
1203500732                                                                                                                                                                                                                          2/5/2021",1,,,,,,,,,,,,
"University at Buffalo School of Medicine Program Buffalo, New York
1203500733                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"NYCOMEC/Nassau University Program East Meadow, New York
1203500735                                                                                                                                                                                                                          2/5/2021",2,0.00%,,,,,,,,,,,
"Zucker School of Medicine at Hofstra/Northwell at Peconic Bay Medical Center Riverhead, New York
1203500736                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Niagara Falls Memorial Medical Center Program Niagara Falls, New York
1203500737                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Our Lady of Lourdes Memorial Hospital Inc. Program Binghamton, New York
1203500738                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"SUNY Upstate Medical University Program Syracuse, New York
1203500740                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Health Quest Program Rhinebeck, New York
1203500741                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"NSLIJHS/Hofstra North Shore-LIJ School of Medicine at Glen Cove Program Glen Cove, New York
1203511202                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"United Health Services Hospitals Program Johnson City, New York
1203511203                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Albert Einstein College of Medicine/Jamaica Hospital Medical Center Program Jamaica, New York
1203511206                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"Lutheran Medical Center Program Brooklyn, New York
1203511207                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Icahn School of Medicine at Mount Sinai (South Nassau) Program Oceanside, New York
1203511212                                                                                                                                                                                                                          2/5/2021",6,96.77%,,,,,,,,,,,
"St Elizabeth Medical Center (Utica) Program Utica, New York
1203511217                                                                                                                                                                                                                          2/5/2021",10,97.78%,,,,,,,,,,,
"New York Medical College at St Joseph's Medical Center Program Yonkers, New York
1203511218                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"Ellis Hospital of Schenectady Program Schenectady, New York
1203512215                                                                                                                                                                                                                          2/5/2021",10,96.00%,,,,,,,,,,,
"Albany Medical Center Program Albany, New York
1203521198                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"NSLIJHS/Hofstra North Shore-LIJ School of Medicine at Southside Hospital Program Bay Shore, New York
1203521199                                                                                                                                                                                                                          2/5/2021",9,93.48%,,,,,,,,,,,
"Mid-Hudson Family Health Institute Program Kingston, New York
1203521204                                                                                                                                                                                                                          2/5/2021",9,88.64%,,,,,,,,,,,
"Albert Einstein College of Medicine Program Bronx, New York
1203521209                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"SUNY Health Science Center at Brooklyn Program Brooklyn, New York
1203521210                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"University of Rochester/Highland Hospital of Rochester Program Rochester, New York
1203521214                                                                                                                                                                                                                          2/5/2021",12,100.00%,,,,,,,,,,,
"SUNY Health Science Center at Syracuse/St Joseph's Hospital Health Center Program Syracuse, New York
1203521216                                                                                                                                                                                                                          2/5/2021",14,95.65%,,,,,,,,,,,
"SUNY at Stony Brook Program Southampton, New York
1203521408                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Bronx-Lebanon Hospital Center Program Bronx, New York
1203521465                                                                                                                                                                                                                          2/5/2021",13,100.00%,,,,,,,,,,,
"University at Buffalo Program Buffalo, New York
1203521489                                                                                                                                                                                                                          2/5/2021",13,100.00%,,,,,,,,,,,
"University at Buffalo Rural Program Olean, New York
1203521516                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Brooklyn Hospital Center Program Brooklyn, New York
1203521530                                                                                                                                                                                                                          2/5/2021",7,97.06%,,,,,,,,,,,
"New York Presbyterian Hospital (Columbia Campus) Program New York, New York
1203521581                                                                                                                                                                                                                          2/5/2021",6,96.77%,,,,,,,,,,,
"Hofstra Northwell School of Medicine/Phelps Hospital Program Sleepy Hollow, New York
1203521706                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"New York Medical College  Program Clifton, New Jersey
1203531681                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"Icahn School of Medicine at Mount Sinai (Downtown) Urban Program New York, New York
1203532538                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Novant Health Program Cornelius, North Carolina
1203600666                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Campbell University Program Lumberton, North Carolina
1203600667                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"Campbell University/Harnett Health Program Lillington, North Carolina
1203600668                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Campbell University/Sampson Regional Medical Center Program Clinton, North Carolina
1203600670                                                                                                                                                                                                                          2/5/2021",1,,,,,,,,,,,,
"Mountain Area Health Education Center (Boone) Program Boone, North Carolina
1203600672                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Vidant Medical Center Program Greenville, North Carolina
1203600674                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Mountain Area Health Education Center Program Asheville, North Carolina
1203611219                                                                                                                                                                                                                          2/5/2021",11,100.00%,,,,,,,,,,,
"Carolinas Medical Center Program Charlotte, North Carolina
1203611221                                                                                                                                                                                                                          2/5/2021",11,98.11%,,,,,,,,,,,
"Moses H Cone Memorial Hospital Program Greensboro, North Carolina
1203611224                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Vidant Medical Center/East Carolina University Program Greenville, North Carolina
1203611225                                                                                                                                                                                                                          2/5/2021",12,98.31%,,,,,,,,,,,
"Naval Hospital Camp Lejeune Program Camp Lejeune, North Carolina
1203612665                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Womack Army Medical Center Program Fort Bragg, North Carolina
1203621011                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Duke University Hospital Program Durham, North Carolina
1203621222                                                                                                                                                                                                                          2/5/2021",5,95.83%,,,,,,,,,,,
"Mountain Area Health Education Center Rural Program Hendersonville, North Carolina
1203621575                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"Atrium Health Cabarrus Program Concord, North Carolina
1203621580                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"New Hanover Regional Medical Center Program Wilmington, North Carolina
1203621611                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Carolinas Medical Center Rural Program Monroe, North Carolina
1203621634                                                                                                                                                                                                                          2/5/2021",0,100.00%,,,,,,,,,,,
"University of North Carolina Hospitals Program Chapel Hill, North Carolina
1203631220                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"Southern Regional Area Health Education Center/Duke University Hospital Program Fayetteville, North Carolina
1203631223                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Wake Forest University School of Medicine Program Winston Salem, North Carolina
1203631226                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"University of North Dakota (Hettinger) Program Bismark, North Dakota
1203700681                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Univ of North Dakota School of Medicine and Health Sciences Rural Program Williston, North Dakota
1203700682                                                                                                                                                                                                                          2/5/2021",2,87.50%,,,,,,,,,,,
"Univ of North Dakota School of Medicine and Health Sciences Program Fargo, North Dakota
1203700683                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"University of North Dakota (Bismarck) Program Bismarck, North Dakota
1203721227                                                                                                                                                                                                                          2/5/2021",4,95.45%,,,,,,,,,,,
"Altru Health System (Grand Forks) Program Grand Forks, North Dakota
1203731229                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"University of North Dakota (Minot) Program Minot, North Dakota
1203731230                                                                                                                                                                                                                          2/5/2021",6,93.33%,,,,,,,,,,,
"St. Elizabeth Boardman Hospital Program Boardman, Ohio
1203800689                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Kettering Health Network/Grandview Medical Center Program Dayton, Ohio
1203800690                                                                                                                                                                                                                          2/5/2021",0,100.00%,,,,,,,,,,,
"Doctors Hospital/Ohiohealth Program Grove City, Ohio
1203800691                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Adena Regional Medical Center Program Chillicothe, Ohio
1203800696                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Western Reserve Hospital Program Cuyahoga Falls, Ohio
1203800697                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Firelands Regional Medical Center Program Sandusky, Ohio
1203800698                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"Kettering Health Network Program Beavercreek, Ohio
1203800700                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Dublin Methodist Hospital Program Dublin, Ohio
1203800701                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"OhioHealth/O'Bleness Hospital Program Athens, Ohio
1203800702                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"University Hospitals Osteopathic Consortium (UHOC/Westlake) Program Westlake, Ohio
1203800703                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"St. Luke's Hospital Program Perrysburg, Ohio
1203800704                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"University Hospitals Osteopathic Consortium (UHOC/Richmond Heights) Program Richmond Heights, Ohio
1203800706                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Fairfield Medical Center Program Lancaster, Ohio
1203800707                                                                                                                                                                                                                          2/5/2021",1,,,,,,,,,,,,
"Memorial Health System Program Marietta, Ohio
1203800708                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"East Liverpool City Hospital Program East Liverpool, Ohio
1203800709                                                                                                                                                                                                                          2/5/2021",1,,,,,,,,,,,,
"St. Rita's Medical Center Program Lima, Ohio
1203800710                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Aultman Hospital/NEOMED Program Canton, Ohio
1203811234                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Case Western Reserve University/University Hospitals Case Medical Center Program Cleveland, Ohio
1203811236                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Case Western Reserve University (MetroHealth) Program Cleveland, Ohio
1203811237                                                                                                                                                                                                                          2/5/2021",6,96.00%,,,,,,,,,,,
"Fairview Hospital/Cleveland Clinic Program Lakewood, Ohio
1203811238                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"St Elizabeth Health Center/NEOUCOM Program Youngstown, Ohio
1203811251                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"Western Reserve Health Education/NEOMED Program Youngstown, Ohio
1203811359                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"University of Toledo Program Toledo, Ohio
1203813688                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"Summa Health System/NEOUCOM Program Akron, Ohio
1203821231                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Christ Hospital/University of Cincinnati College of Medicine Program Cincinnati, Ohio
1203821235                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Ohio State University Hospital Program Columbus, Ohio
1203821241                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Riverside Methodist Hospitals (OhioHealth) Program Columbus, Ohio
1203821242                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Toledo Hospital Program Toledo, Ohio
1203821250                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"Summa Barberton Hospital/NEOUCOM Program Barberton, Ohio
1203821437                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"TriHealth (Bethesda North Hospital) Program Cincinnati, Ohio
1203821474                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Akron General Medical Center/NEOMED Program Akron, Ohio
1203831232                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Grant Medical Center (OhioHealth) Program Columbus, Ohio
1203831239                                                                                                                                                                                                                          2/5/2021",13,100.00%,,,,,,,,,,,
"Wright State University/Dayton Community Hospitals Program Dayton, Ohio
1203831243                                                                                                                                                                                                                          2/5/2021",10,95.83%,,,,,,,,,,,
"Mercy St. Vincent Medical Center/Mercy Health Partners Program Toledo, Ohio
1203831249                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Mount Carmel Program Westerville, Ohio
1203832240                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Oklahoma State University Center for Health Sciences (Tulsa) Program Tulsa, Oklahoma
1203900660                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Osteopathic Medical Education Consortium of Oklahoma (OMECO/Tulsa) Program Tulsa, Oklahoma
1203900661                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Osteopathic Medical Education Consortium of Oklahoma (OMECO/Talihina) Program Talihina, Oklahoma
1203900662                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Oklahoma State University Center for Health Sciences (Lawton) Program Lawton, Oklahoma
1203900663                                                                                                                                                                                                                          2/5/2021",2,,,,,,,,,,,,
"Oklahoma State University Center for Health Sciences (Tahlequah) Program Tahlequah, Oklahoma
1203900664                                                                                                                                                                                                                          2/5/2021",1,,,,,,,,,,,,
"Oklahoma State University Center for Health Sciences (McAlester) Program McAlester, Oklahoma
1203900666                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Osteopathic Medical Education Consortium of Oklahoma (OMECO/Chickasaw Nation Medical Center) Program Ada, Oklahoma
1203900667                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Oklahoma State University Center for Health Sciences (Durant) Program Durant, Oklahoma
1203900668                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Oklahoma State University Center for Health Sciences/Cherokee Nation Program Tahlequah, Oklahoma
1203900670                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Marshall Community Health Consortium Program Gallipolis, Ohio
1203900693                                                                                                                                                                                                                          2/5/2021",1,,,,,,,,,,,,
"University of Oklahoma Health Sciences Center Program Oklahoma City, Oklahoma
1203921254                                                                                                                                                                                                                          2/5/2021",13,100.00%,,,,,,,,,,,
"University of Oklahoma College of Medicine-Tulsa Program Tulsa, Oklahoma
1203921256                                                                                                                                                                                                                          2/5/2021",9,97.67%,,,,,,,,,,,
"In His Image at St. John Medical Center Program Tulsa, Oklahoma
1203921499                                                                                                                                                                                                                          2/5/2021",11,100.00%,,,,,,,,,,,
"St Anthony Hospital Program Oklahoma City, Oklahoma
1203921513                                                                                                                                                                                                                          2/5/2021",9,96.30%,,,,,,,,,,,
"Integris Baptist Medical Center/Great Plains Program Oklahoma City, Oklahoma
1203921585                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"University of Oklahoma College of Medicine-Tulsa Rural Program Bartlesville, Oklahoma
1203921600                                                                                                                                                                                                                          2/5/2021",1,80.00%,,,,,,,,,,,
"University of Oklahoma Health Sciences Center (Lawton) Program Lawton, Oklahoma
1203921659                                                                                                                                                                                                                          2/5/2021",3,93.75%,,,,,,,,,,,
"Providence Health & Services/Hood River Rural Program Hood River, Oregon
1204000729                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Samaritan Health Services-Corvallis Program Corvallis, Oregon
1204000730                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"OPTI West Program Roseburg, Oregon
1204000732                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Oregon Health & Science University Hospital Program Hillsboro, Oregon
1204000733                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Oregon Health & Science University Program Portland, Oregon
1204021371                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Oregon Health & Science University (Cascades East) Program Klamath Falls, Oregon
1204021540                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Providence Health & Services-Oregon/Milwaukie Hospital Program Milwaukie, Oregon
1204021656                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Penn State Milton S Hershey Medical Center Program State College, Pennsylvania
1204100691                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
