,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Intro,Year 1,Year 2,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 1,Participant 2,Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Participant 3,Participant 4,Participant 5,Participant 6,Participant 7,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,,Year 4,Year 5,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Night float system (Residents participate during first year),Participant 8,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Participant 9,Specialty Details,1,15,2,3,Yes
0,https://freida.ama-assn.org/program/3205521243,Community-based university affiliated,Charleston Area Medical Center,3,3,No,Yes,"July,January",Yes,No,http://camc.wvu.edu/info/prospective.htm,Not Available,"Sharon  Istfan
MD
Women and Children's Hosp
Ste 104
830 Pennsylvania Ave
Charleston, WV 25302
Tel: (304) 388-1563
Fax: (304) 388-2926
E-mail: sharon.istfan@camc.org","Amanda J Mullins
BA
Women and Children's Hosp
Ste 104
830 Pennsylvania Ave
Charleston, WV 25302
Tel: (304) 388-1563
Fax: (304) 388-2926
E-mail: amanda.mullins3@camc.org",3205521243,"Women and Children's Hosp, Ste 104, 830 Pennsylvania Ave, Charleston, WV 25302","3110 MacCorkle Ave SE, Charleston, WV 25304","800 Pennsylvania Ave, Charleston, WV 25302",Program has 5-year Board pass rate exceeds the required 70% standard. Residents have three paid professional days during residency for job or fellowship interviews and receive allowance for attendance at one conference during residency. Performance bonuses available semi-annually. Audition rotations should be applied for through VSAS and the WVU Office of Student Services.,7,7,No,No,"Yes , Codes: 1902320C0",No,12/31/2020,10/21/2020 - 1/31/2021_10/15/2021 - 1/31/2022,7/1/2021,12/31/2021,No,62,No,No,3,No,Yes,210_210_450_450,Yes,226-235,Yes,Yes,501-540,"Desired, with some exceptions",Yes,No,No,26,6,8,0,34,6,34.6,1.4 to 1,65,24,1.5,No,,Every eleventh night or more for 12 month(s),0,Every eleventh night or more for 12 month(s),5,Every eleventh night or more for 12 month(s),5,8,30%,7%,"$53,354.00",21,12,"$55,156.00",21,12,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Optional,Yes,Yes,Yes,,,7,,,,,,,,,"$51,237.00",21,12,,,,8.7,50.7,40.4,70.3,29.6,,,,,,,,Yes,,,,,,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,
0,https://freida.ama-assn.org/program/3205521380,University-based,Cabell Huntington Hospital,3,3,No,Yes,July,Yes,No,http://musom.marshall.edu,Not Available,"Audra  Pritt
MD
Marshall Univ Edwards Sch of Med
Ste 3500
1600 Medical Center Dr
Huntington, WV 25701
Tel: (304) 691-1374
Fax:
E-mail: bannister4@marshall.edu","Lisa  Watts
Marshall Univ Edwards Sch of Med
Ste 3500
1600 Medical Center Dr
Huntington, WV 25701
Tel: (304) 691-1374
Fax: (304) 691-1375
E-mail: lwatts@marshall.edu",3205521380,"Marshall Univ Edwards Sch of Med, Ste 3500, 1600 Medical Center Dr, Huntington, WV 25701","1600 Medical Center Dr, Huntington, WV 25701-3655","1340 Hal Greer Blvd, Huntington, WV 25701-0195","Residency program is committed to training outstanding pediatricians for community practice, further subspecialty training, and academic careers.",6,6,No,No,"Yes , Codes: 3066320C0",No,12/15/2020,11/1/2020 - 1/15/2021_10/15/2021 - 1/15/2022,9/15/2021,12/15/2021,Yes,44,No,No,3,No,Yes,220_220_500_500,Yes,210-225,Yes,Yes,450-500,"Desired, with some exceptions",Yes,No,No,39,0,9,0,48,0,53.8,2.4 to 1,65,24,2,No,,N/A,0,Every eleventh night or more for 4 month(s),4,Every eleventh night or more for 4 month(s),4,5,16%,16%,"$53,000.00",21,15,"$54,000.00",21,15,No,28,28,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,"Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Optional,Yes,Yes,No,"1600 Medical Center Dr, Huntington, WV 25701",,6,,,,,,,,,"$52,000.00",21,15,,,,29.1,30.8,39.9,80,19.9,,,,,,,,Yes,,,,,,"Recent data from the American Board of Pediatrics on cumulative certifying examinations` pass rates can be found at their web site, www.abp.org.",,,,,
0,https://freida.ama-assn.org/program/3205511245,,,3,3,Yes,Yes,July,Yes,No,http://medicine.hsc.wvu.edu/pediatrics/residents/,Not Available,"Timothy P Lefeber
MD
West Virginia Univ HSC
PO Box 9214
1 Medical Center Dr
Morgantown, WV 26506-9214
Tel: (304) 293-1198
Fax: (304) 293-1216
E-mail: tplefeber@hsc.wvu.edu","Autumn  King
West Virginia Univ HSC
PO Box 9214
1 Medical Center Dr
Morgantown, WV 26506-9214
Tel: (304) 293-1198
Fax: (304) 293-1216
E-mail: autumn.king@hsc.wvu.edu",3205511245,"West Virginia Univ HSC, PO Box 9214, 1 Medical Center Dr, Morgantown, WV 26506-9214","1 Medical Center Dr, Morgantown, WV 26506-8136","1 Medical Center Dr, Morgantown, WV 26506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3110 MacCorkle Ave SE, Charleston, WV 25304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/7260544004,,,5,5,No,Yes,June,Yes,No,https://med.stanford.edu/peds/prospective-applicants.html,Not Available,"Caroline  Rassbach
MD, MA
Lucile Packard Children's Hosp
Pediatrics/Anesthesiology Pgm
725 Welch Rd
Palo Alto, CA 94304
Tel: (650) 497-8979
Fax:
E-mail: pedsres@stanfordchildrens.org","Carrie  Johnson
MBA
Lucile Packard Children's Hosp
Pediatrics/Anesthesiology Pgm
725 Welch Rd
Palo Alto, CA 94304
Tel: (650) 497-8979
Fax:
E-mail: pedsres@stanfordchildrens.org",7260544004,"Lucile Packard Children's Hosp, Pediatrics/Anesthesiology Pgm, 725 Welch Rd, Palo Alto, CA 94304","300 Pasteur Dr, Stanford, CA 94305-4007","725 Welch Rd, Palo Alto, CA 94304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3801 Miranda Ave, Palo Alto, CA 94304-1207","751 S Bascom Ave, San Jose, CA 95128-2180",,,,,"700 Lawrence Expressway, Santa Clara, CA 95051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/7262444001,,,5,5,No,Yes,"June,July",Yes,No,http://www.childrenshospital.org/bcrp/,Not Available,"Theodore C Sectish
MD
Boston Children's Hosp
Dept of Medicine HU2
300 Longwood Ave
Boston, MA 02115
Tel: (617) 355-7681
Fax: (617) 730-0469
E-mail: theodore.sectish@childrens.harvard.edu","Elayne  Fournier
BA
Boston Children's Hosp
Dept of Medicine HU2
300 Longwood Ave
Boston, MA 02115
Tel: (617) 355-8241
Fax: (617) 730-0469
E-mail: bcrp@childrens.harvard.edu",7262444001,"Boston Children's Hosp, Dept of Medicine HU2, 300 Longwood Ave, Boston, MA 02115","300 Longwood Ave, Boston, MA 02115-5737","75 Francis St, Boston, MA 02115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/7262344003,University-based,Johns Hopkins Hospital,5,5,No,Yes,July,Yes,No,http://www.hopkinsmedicine.org,Not Available,"Nicole A Shilkofski
MD, MEd
Johns Hopkins Hosp
Bloomberg Children's Ctr Rm 8464
1800 Orleans St
Baltimore, MD 21287
Tel: (410) 955-2727
Fax: (410) 955-9850
E-mail: nshilko1@jhmi.edu","Carly  Hyde
BS
Johns Hopkins Hosp
Bloomberg Children's Ctr Rm 8451
1800 Orleans St
Baltimore, MD 21287
Tel: (410) 955-2727
Fax: (410) 955-9850
E-mail: chyde4@jhmi.edu",7262344003,"Johns Hopkins Hosp, Bloomberg Children's Ctr Rm 8464, 1800 Orleans St, Baltimore, MD 21287","720 Rutland Ave, Baltimore, MD 21205-2196","600 N Wolfe St, Baltimore, MD 21287-1629","Optional rotation with Indian Health Service, Arizona. Day-long seminar on death and bereavement. Two or four-week tropical medicine/global health electives with pre-departure simulation training. Simulation for resuscitation and other procedures.",2,2,No,Yes,"Yes , Codes: 1242726C0",No,10/21/2020,11/1/2020 - 1/11/2021_11/1/2021 - 1/10/2022,9/15/2021,9/15/2021,No,10,No,No,3,No,Yes,185___,No,236-245,"No, require USMLE scores for all applicants",No,No Answer,Required,Yes,No,Yes,133,24,10,1,143,25,39.8,13.8 to 1,70,24,1,No,,Other for 8 week(s),0,Every third night for 2 week(s),2,Every third night for 2 week(s),2,8,35%,10%,"$59,570.00",30,NGO,"$62,439.00",30,NGO,Yes,90,NGO,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,"4940 Eastern Ave, Baltimore, MD 21224","707 N Broadway, Baltimore, MD 21205",2,"$65,051.00",30,NGO,,,,,,"$57,160.00",30,NGO,,2,2,100,0,0,67.1,32.8,Every third night for 2 week(s),2,Every third night for 4 week(s),4,"$67,913.00",30,NGO,Yes,,,,,,,,,,,
0,https://freida.ama-assn.org/program/7263644005,,,5,5,No,No,June,Yes,No,https://www.med.unc.edu/pediatrics/education/pedsres/,Not Available,"Kenya A McNeal-Trice
MD
Univ of North Carolina Hosps
Campus Box 7593
101 Manning Dr
Chapel Hill, NC 27599-7593
Tel: (919) 966-3172
Fax:
E-mail: uncped@med.unc.edu","Kelly  Lear
Univ of North Carolina Hosps
CB 7593
101 Manning Dr
Chapel Hill, NC 27599-7593
Tel:
Fax:
E-mail: uncped@med.unc.edu",7263644005,"Univ of North Carolina Hosps, Campus Box 7593, 101 Manning Dr, Chapel Hill, NC 27599-7593","101 Manning Dr, Chapel Hill, NC 27514","1200 N Elm St, Greensboro, NC 27401-1020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3000 New Bern Ave, Raleigh, NC 27610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/7264144007,University-based,UPMC Children's Hospital of Pittsburgh,5,5,No,No,June,Yes,No,http://www.anes.upmc.edu/,Not Available,"Peter J Davis
MD
UPMC Children's Hosp Pittsburgh
Pediatrics/Anesthesiology Pgm
4401 Penn Ave
Pittsburgh, PA 15224
Tel: (412) 692-5260
Fax:
E-mail: davispj@upmc.edu","Shana  Heald
BS
UPMC Med Education
Kaufmann Med Bldg 4th Fl Ste 402
3471 Fifth Ave
Pittsburgh, PA 15213
Tel: (412) 692-4503
Fax: (412) 692-4515
E-mail: healdsn@upmc.edu",7264144007,"UPMC Children's Hosp Pittsburgh, Pediatrics/Anesthesiology Pgm, 4401 Penn Ave, Pittsburgh, PA 15224","3600 Forbes Ave, Pittsburgh, PA 15213","45th & Penn Ave, Pittsburgh, PA 15201","We offer exposure to a high volume of diverse cases in a variety of settings including referral-centers , teaching, and community hospitals. We provide strong clinical and didactic programs, research, simulator-based training and opportunity for subspecialty fellowships.",1,1,No,No,"Yes , Codes: 1652726C0",No,11/1/2020,10/29/2020 - 1/21/2021_-,,,No,10,No,No,3,No,Yes,225___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",Greater than 600,"Desired, with some exceptions",Yes,Yes,Yes,198,0,5,0,203,0,28.2,40.1 to 1,55,24,2,Yes,,N/A,2,N/A,2,N/A,2,6,NGO,N/A,"$61,823.00",Not Available,Not Available,"$63,672.00",Not Available,Not Available,Yes,90,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Optional,No,No,Yes,"5230 Centre Ave, Pittsburgh, PA 15232",,1,"$65,900.00",Not Available,Not Available,,,,,,"$59,727.00",Not Available,Not Available,,1,1,100,0,0,88.8,11.1,N/A,2,N/A,2,"$68,207.00",Not Available,Not Available,Yes,,,,,,,,,,,
0,https://freida.ama-assn.org/program/7265644006,Community-based university affiliated,Children's Wisconsin,5,5,No,Yes,July,Yes,No,http://www.mcw.edu/Pediatrics/MedicalEducation/ResidencyPrograms.htm,Not Available,"Michael  Weisgerber
MD, MS
Children's Wisconsin
Children's Corp Ctr Ste C730
9000 W Wisconsin Ave
Milwaukee, WI 53201
Tel: (414) 266-6810
Fax: (414) 337-7068
E-mail: mweisger@mcw.edu","Nathan  Karst
Children's Wisconsin
Dept of Anesthesiology
9000 W Wisconsin Ave
Milwaukee, WI 53226
Tel: (414) 805-6034
Fax: (414) 805-5915
E-mail: nkarst@mcw.edu",7265644006,"Children's Wisconsin, Children's Corp Ctr Ste C730, 9000 W Wisconsin Ave, Milwaukee, WI 53201","8701 W Watertown Plank Rd, Milwaukee, WI 53226","9000 W Wisconsin Ave, Milwaukee, WI 53201","Program provides simulation training, CA1 1/2 day workshops, TEE, regional, airway and trauma workshops. Resident as educators, conflict resolution workshops, wellness (diversity training, faculty dinner gatherings). CA1 (gear up) and CA2 (transition to practice) retreats. Yearly educational benefits for PGY2-PGY5.",1,1,No,No,"Yes , Codes: 1784726C0",No,11/1/2020,11/8/2020 - 1/15/2021_10/15/2021 - 1/15/2022,9/15/2021,11/1/2021,No,13,No,No,3,No,Yes,188___,No,No Answer,No,No,No Answer,Not known,Yes,Yes,Yes,305,32,60,1,365,33,45.2,67.0 to 1,55,16,1.5,No,,N/A,0,Every fourth night for 48 week(s),NGO,Every fourth night for 48 week(s),NGO,8,50%,15%,"$63,060.00",15,5,"$64,170.00",15,5,Yes,50,NGO,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,No,No,Yes,"9200 W Wisconsin Ave, Milwaukee, WI 53226",,1,"$65,270.00",15,5,,,,,,"$61,970.00",15,10,,1,1,55.5,16.6,27.7,55.5,44.4,Every fifth night for 48 week(s),NGO,Every fifth night for 48 week(s),NGO,"$68,580.00",15,5,Yes,,,,,,,,,,,
0,https://freida.ama-assn.org/program/7250344009,University-based,Banner-University Medical Center Tucson,5,5,No,Yes,July,Yes,No,http://emergencymed.arizona.edu/residencies/ua-combined-em-peds,Not Available,"Aaron N Leetch
MD
Univ of Arizona Coll of Med-Tucson
PO Box 24-5057
1501 N Campbell Ave
Tucson, AZ 85724
Tel: (520) 626-7233
Fax: (520) 626-2480
E-mail: aleetch@aemrc.arizona.edu","Veronica L Calderon
Univ of Arizona Coll of Med-Tucson
PO Box 24-5057
1501 N Campbell Ave
Tucson, AZ 85724
Tel: (520) 626-7233
Fax: (520) 626-2480
E-mail: veronica@aemrc.arizona.edu",7250344009,"Univ of Arizona Coll of Med-Tucson, PO Box 24-5057, 1501 N Campbell Ave, Tucson, AZ 85724","1501 N Campbell Ave, Tucson, AZ 85724-5085","1501 N Campbell Ave, Tucson, AZ 85724","International elective grants available for PGY2-5 year residents. Optional education tracks (US, EMS, critical care, education, and sports medicine). Dedicated resuscitation shifts. Training and dual board eligibility in both general pediatrics and emergency medicine.",3,3,No,No,"Yes , Codes: 1015725C0",No,12/1/2020,11/17/2020 - 1/31/2021_11/1/2021 - 1/31/2022,9/15/2021,12/1/2021,Yes,24,No,No,3,No,Yes,200_200__,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,57,1,7,0,64,1,29.8,4.0 to 1,60,24,1,Yes,,N/A,NGO,Every fourth night for 5 month(s),NGO,Every fourth night for 4 month(s),NGO,5,33%,15%,"$60,721.00",20,12,"$63,888.00",20,12,No answer,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Required,Yes,Yes,Yes,"5301 E Grant Rd, Tucson, AZ 85733-2195","3601 S 6th Ave, Tucson, AZ 85723",3,"$66,461.00",20,12,"2800 E Ajo Way, Tucson, AZ 85713",,,,,"$58,246.00",20,12,(4 wks ),4,2,60.9,30.2,8.7,49.8,50.1,Every fourth night for 4 month(s),NGO,Every fourth night for 4 month(s),NGO,"$70,105.00",20,12,Yes,,,,,,,,,,,
0,https://freida.ama-assn.org/program/7251744005,University-based,Indiana University School of Medicine,5,5,Yes,Yes,July,Yes,No,http://emergency.medicine.iu.edu/education/,Not Available,"Aloysius (Butch)  Humbert
MD
IU Health Methodist Hosp
Rm AG012
1701 N Senate Blvd
Indianapolis, IN 46202
Tel:
Fax:
E-mail: emres@iu.edu","Veronica  Shook
IU Health Methodist Hosp
Rm AG012
1701 N Senate Blvd
Indianapolis, IN 46202
Tel: (317) 962-3525
Fax: (317) 963-5394
E-mail: emres@iu.edu",7251744005,"IU Health Methodist Hosp, Rm AG012, 1701 N Senate Blvd, Indianapolis, IN 46202","1120 South Dr, Indianapolis, IN 46202-5114","1701 N Senate Blvd, Indianapolis, IN 46202","Three EDs with over 240,000 visits, over 40,000 pediatric visits, the only 3 Level 1 trauma centers in Indiana with rotations/experience in toxicology, mass gathering, and academic teaching. Free standing multi-specialty children's hospital.",2,2,No,No,"Yes , Codes: 1187725C0",No,,-_11/5/2021 - 12/15/2021,9/15/2021,11/1/2021,No,18,No,No,3,No,No,___,No,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not known,Yes,No,No,179,7,14,0,193,7,39.1,18.6 to 1,60,30,1.5,Yes,,N/A,4,Every fourth night for 5 month(s),0,Every fourth night for 4 month(s),0,5,20%,N/A,"$58,558.00",21,NGO,"$60,187.00",28,NGO,No answer,42,42,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Required,No,No,Yes,,,2,"$62,199.00",28,NGO,,,,,,"$57,174.00",21,NGO,(4 wks ),2,2,73.3,13.3,13.3,56.6,43.3,Every fifth night for 4 month(s),0,Every fifth night for 4 month(s),Not Available,"$64,361.00",28,NGO,Yes,,,,,,,,,,,
0,https://freida.ama-assn.org/program/7252144010,Community-based university affiliated,Children's Hospital (New Orleans),5,5,No,Yes,July,Yes,No,https://www.medschool.lsuhsc.edu/emergency_medicine/pedsem.aspx,Not Available,"Anna  McFarlin
MD
Children's Hosp New Orleans
LSU Dept of Pediatrics
200 Henry Clay Ave
New Orleans, LA 70118
Tel: (504) 894-6783
Fax: (504) 896-2145
E-mail: amcfar@lsuhsc.edu","Rebecca  Taliancich
Children's Hosp New Orleans
Dept of Pediatrics
200 Henry Clay Ave
New Orleans, LA 70118
Tel: (504) 896-2891
Fax: (504) 896-2720
E-mail: rtalia@lsuhsc.edu",7252144010,"Children's Hosp New Orleans, LSU Dept of Pediatrics, 200 Henry Clay Ave, New Orleans, LA 70118","2020 Gravier St, New Orleans, LA 70112","200 Henry Clay Ave, New Orleans, LA 70118","Our program features a 5 year pathway to dual board certification in both Pediatrics and Emergency Medicine. Our residents have the opportunity to participate in the care of an extremely wide range of patients, adults and pediatrics, in a wide variety of clinical settings.  This provides our residents with a strong foundation for a successful career in private practice or academic medicine, in general pediatrics, emergency medicine, or pediatric emergency medicine.",2,2,No,No,"Yes , Codes: 1224725C0",No,12/31/2020,11/1/2020 - 1/31/2021_11/1/2021 - 1/31/2022,9/15/2021,12/15/2021,Yes,24,No,No,3,No,Yes,___,No,210-225,"No, require USMLE scores for all applicants",No,541-600,"Desired, with some exceptions",Yes,No,No,110,0,31,0,141,0,54.5,12.5 to 1,52,16,2,Yes,,N/A,0,Every fourth night for 1 month(s),0,N/A,0,8,5%,N/A,"$56,652.00",28,14,"$58,591.00",28,14,No,42,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,Within 30 days of starting program,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Optional,Yes,No,Yes,"1401 Foucher St, New Orleans, LA 70115-3593","1514 Jefferson Hwy, New Orleans, LA 70121",2,"$60,850.00",28,14,"2021 Perdido St, New Orleans, LA 70112-1396","1978 Industrial Blvd, Houma, LA 70363","1101 Medical Center Blvd, Marrero, LA 70072","1001 Gause Blvd, Slidell, LA 70458",,"$54,815.00",21,14,,2,2,84.1,15.8,0,31.7,68.2,Every fourth night for 1 month(s),0,N/A,Not Available,"$63,424.00",28,14,Yes,,,,,,,,,,,
