,Link,Overall Grade,Public Schools,Housing,Nightlife,Good for Families,Diversity,Jobs,Weather,Cost of Living,Health & Fitness,Outdoor Activities,Commute,Summary,Population,Median Home Value,Median Rent,Median Household Income,Median Home Value vs. National,Median Rent vs. National,Median Household Income vs. National,Rent,Own,Assault,Assault vs. National,Murder,Murder vs. National,Rape,Rape vs. National,Robbery,Robbery vs. National,Burglary,Burglary vs. National,Theft,Theft vs. National,Motor Vehicle Theft,Motor Vehicle Theft vs. National,<10 years,10-17 years,18-24 years,25-34 years,35-44 years,45-54 years,55-64 years,65+ years,Master's degree or higher,Master's degree or higher vs. National,Bachelor's degree,Bachelor's degree vs. National,Some college or associate's degree,Some college or associate's degree vs. National,High school diploma or equivalent,High school diploma or equivalent vs. National,Less than high school diploma,Less than high school diploma vs. National,Overall rating,Total reviews,5-star ratings,4-star ratings,3-star ratings,2-star ratings,1-star ratings,Unemployment Rate,Poverty Rate,Non-Citizens,White,Hispanic,African American,Two or more races,Asian,American Indian or Alaska native,Other race,Hawaiian or other Pacific Islander,Male,Female,<$25k,$25-$44k,$45-$74k,$75-$149k,$150k+,<$15k,$15-$34k,$35-$64k,$65k+
0,https://www.niche.com/places-to-live/c/alamance-county-nc/,B+,B minus,B minus,A minus,B+,A,B,B,B,A minus,B+,B minus,"Alamance County is located in North Carolina with a population of 163,324. In Alamance County, most residents own their homes. Many families and young professionals live in Alamance County and residents tend to lean conservative.",163324,154800,813,49688,-0.2882758620689655,-0.2344632768361582,-0.20933119042693693,0.35,0.65,551.3,0.9501238061549344,5,-0.180327868852459,26.6,-0.34643734643734647,160.5,0.18450184501845013,743,0.4857028594281143,2479,0.21353044840415114,169.2,-0.4042253521126761,0.12,0.11,0.1,0.12,0.12,0.14,0.13,0.17,0.07,-0.41666666666666663,0.17,-0.15000000000000002,0.34,0.1724137931034484,0.28,0.03703703703703698,0.14,0.16666666666666674,3.43,7,0,4,2,1,0,0.034,0.16,0.053,0.64,0.13,0.19,0.02,0.02,0.0,0.0,0.0,0.47,0.53,0.24,0.22,0.22,0.25,0.07,0.27,0.33,0.26,0.14
0,https://www.niche.com/places-to-live/c/putnam-county-tn/,B+,B+,B minus,B+,B+,B minus,B minus,B minus,B+,A minus,B+,C+,"Putnam County is located in Tennessee with a population of 77,447. In Putnam County, most residents own their homes. Many young professionals live in Putnam County and residents tend to be conservative.",77447,159600,715,44259,-0.26620689655172414,-0.3267419962335216,-0.29572108269815256,0.39,0.61,291.8,0.032189600282985564,7.2,0.18032786885245922,45.8,0.12530712530712518,38.6,-0.7151291512915129,793.5,0.5866826634673066,3386.2,0.6576267867632661,364.2,0.28239436619718306,0.11,0.1,0.14,0.13,0.11,0.12,0.12,0.17,0.1,-0.16666666666666663,0.16,-0.20000000000000007,0.24,-0.1724137931034483,0.37,0.37037037037037024,0.13,0.08333333333333348,3.76,54,13,15,26,0,0,0.023,0.187,0.032,0.88,0.06,0.02,0.01,0.01,0.0,0.0,0.0,0.49,0.51,0.3,0.21,0.23,0.2,0.06,0.31,0.34,0.23,0.12
0,https://www.niche.com/places-to-live/c/sullivan-county-tn/,B+,B+,B+,B+,B+,C+,B minus,B+,A minus,B+,A minus,B,"Sullivan County is located in Tennessee with a population of 157,050. In Sullivan County, most residents own their homes. Many young professionals and retirees live in Sullivan County and residents tend to be conservative.",157050,141300,668,46684,-0.3503448275862069,-0.3709981167608286,-0.2571328548923508,0.28,0.72,482.6,0.7071100106119563,7.3,0.19672131147540983,39.2,-0.03685503685503688,80.8,-0.403690036900369,646.8,0.29334133173365307,3709.1,0.8156941452907773,350.3,0.2334507042253522,0.1,0.09,0.08,0.11,0.11,0.14,0.14,0.21,0.09,-0.25,0.15,-0.2500000000000001,0.29,0.0,0.35,0.29629629629629606,0.13,0.08333333333333348,3.76,84,19,31,29,5,0,0.034,0.158,0.006999999999999999,0.93,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.49,0.51,0.26,0.23,0.23,0.21,0.07,0.31,0.33,0.23,0.13
0,https://www.niche.com/places-to-live/c/westmoreland-county-pa/,B+,A minus,B+,A minus,A minus,C+,B+,C minus,B,A minus,A minus,B minus,"Westmoreland County is located in Pennsylvania with a population of 352,590. In Westmoreland County, most residents own their homes. Many young professionals and retirees live in Westmoreland County and residents tend to be conservative.",352590,153100,721,60471,-0.2960919540229885,-0.3210922787193974,-0.037744856229015133,0.23,0.77,163.1,-0.4230633180049522,1.9,-0.6885245901639344,14.4,-0.6461916461916462,32.1,-0.76309963099631,190.4,-0.6192761447710458,1083.1,-0.46979635794008223,45.6,-0.8394366197183099,0.1,0.09,0.08,0.1,0.11,0.14,0.16,0.22,0.1,-0.16666666666666663,0.19,-0.050000000000000044,0.28,-0.0344827586206895,0.37,0.37037037037037024,0.06,-0.5,,,,,,,,0.025,0.099,0.005,0.94,0.01,0.02,0.02,0.01,0.0,0.0,0.0,0.49,0.51,0.19,0.18,0.22,0.29,0.11,0.26,0.29,0.26,0.19
0,https://www.niche.com/places-to-live/c/lafourche-parish-la/,B+,A minus,A minus,B+,A minus,B+,C+,B,A minus,B minus,B,B minus,"Lafourche Parish is a County in Louisiana with a population of 98,108. In Lafourche Parish, most residents own their homes. Many families live in Lafourche Parish and residents tend to be conservative.",98108,158000,793,55506,-0.27356321839080455,-0.2532956685499058,-0.11675126903553301,0.24,0.76,258.3,-0.08631057658295005,6,-0.016393442622950727,18,-0.5577395577395577,84.1,-0.37933579335793366,534.7,0.0691861627674466,2811.7,0.37639514392010964,126.2,-0.5556338028169014,0.13,0.11,0.09,0.14,0.12,0.13,0.13,0.15,0.05,-0.5833333333333333,0.12,-0.4,0.21,-0.27586206896551724,0.41,0.5185185185185184,0.22,0.8333333333333335,3.63,8,0,5,3,0,0,0.036000000000000004,0.154,0.019,0.77,0.04,0.14,0.02,0.01,0.02,0.0,0.0,0.49,0.51,0.24,0.18,0.21,0.27,0.1,0.29,0.29,0.24,0.18
0,https://www.niche.com/places-to-live/c/bleckley-county-ga/,B+,A,A,C,A minus,B+,C,A minus,A minus,C minus,C+,C,"Bleckley County is located in Georgia with a population of 12,807. In Bleckley County, most residents own their homes. Residents of Bleckley County tend to be conservative.",12807,102300,620,48174,-0.5296551724137931,-0.416195856873823,-0.23342297471476536,0.26,0.74,278.4,-0.015210470463388748,0,-1.0,39.8,-0.02211302211302224,119.3,-0.11955719557195577,636.3,0.2723455308938212,2505.5,0.2265028392402586,119.3,-0.5799295774647888,0.11,0.1,0.17,0.1,0.1,0.12,0.12,0.18,0.09,-0.25,0.09,-0.55,0.29,0.0,0.41,0.5185185185185184,0.11,-0.08333333333333326,1,1,0,0,0,0,1,0.027000000000000003,0.18,0.008,0.69,0.03,0.27,0.01,0.0,0.0,0.0,0.0,0.47,0.53,0.32,0.16,0.25,0.23,0.04,0.31,0.35,0.21,0.13
0,https://www.niche.com/places-to-live/c/texas-county-ok/,B+,C,B+,B,B,A,A minus,B,A minus,B,C,A minus,"Texas County is located in Oklahoma with a population of 20,805. In Texas County, most residents own their homes. Many families live in Texas County and residents tend to be conservative.",20805,115100,771,52282,-0.47080459770114946,-0.2740112994350282,-0.1680537211781742,0.32,0.68,95.7,-0.6614785992217899,0,-1.0,41.8,0.027027027027026973,29.9,-0.7793357933579336,281,-0.43811237752449517,831,-0.5932054043469748,71.7,-0.7475352112676057,0.16,0.12,0.11,0.14,0.12,0.13,0.11,0.11,0.05,-0.5833333333333333,0.17,-0.15000000000000002,0.24,-0.1724137931034483,0.26,-0.03703703703703709,0.28,1.3333333333333335,,,,,,,,0.02,0.19,0.221,0.44,0.46,0.02,0.03,0.03,0.01,0.0,0.0,0.53,0.47,0.2,0.22,0.31,0.22,0.05,0.27,0.34,0.3,0.1
0,https://www.niche.com/places-to-live/c/beaver-county-ok/,B+,B+,A,B minus,B+,B+,B,B,A,C+,C,B,"Beaver County is located in Oklahoma with a population of 5,377. In Beaver County, most residents own their homes. Many families live in Beaver County and residents tend to be conservative.",5377,101200,708,52349,-0.5347126436781608,-0.33333333333333337,-0.16698757220374583,0.23,0.77,0,-1.0,0,-1.0,0,-1.0,0,-1.0,70,-0.8600279944011198,140,-0.9314666144507538,0,-1.0,0.13,0.13,0.08,0.11,0.12,0.12,0.14,0.19,0.03,-0.75,0.17,-0.15000000000000002,0.29,0.0,0.35,0.29629629629629606,0.16,0.3333333333333335,,,,,,,,0.027000000000000003,0.114,0.079,0.72,0.24,0.01,0.02,0.0,0.01,0.0,0.0,0.5,0.5,0.2,0.23,0.28,0.25,0.04,0.28,0.33,0.27,0.12
0,https://www.niche.com/places-to-live/c/eaton-county-mi/,B+,B,B,B+,B+,B,B+,C,B+,B+,B+,B,"Eaton County is located in Michigan with a population of 109,456. In Eaton County, most residents own their homes. Many young professionals live in Eaton County and residents tend to have moderate political views.",109456,155000,858,64348,-0.28735632183908044,-0.192090395480226,0.023948570246487222,0.28,0.72,115.4,-0.5917934205871949,3.6,-0.4098360655737704,82.9,1.0368550368550369,10.8,-0.9202952029520295,187.5,-0.6250749850029994,1327,-0.3504014098296455,64.9,-0.7714788732394366,0.11,0.1,0.09,0.13,0.12,0.13,0.15,0.18,0.1,-0.16666666666666663,0.18,-0.10000000000000009,0.39,0.3448275862068968,0.28,0.03703703703703698,0.06,-0.5,,,,,,,,0.03,0.10099999999999999,0.021,0.83,0.05,0.07,0.02,0.02,0.0,0.0,0.0,0.49,0.51,0.14,0.18,0.25,0.33,0.09,0.24,0.28,0.29,0.19
0,https://www.niche.com/places-to-live/c/ouachita-parish-la/,B+,A minus,B minus,B+,B+,A minus,C+,B,B,B,C+,B+,"Ouachita Parish is a County in Louisiana with a population of 155,494. In Ouachita Parish, most residents own their homes. Many families and young professionals live in Ouachita Parish and residents tend to be conservative.",155494,146700,768,41121,-0.3255172413793104,-0.2768361581920904,-0.34565504511242306,0.42,0.58,1450.7,4.1315882561018755,20.9,2.4262295081967213,62.7,0.5405405405405406,364.7,1.691512915129151,1772,2.5432913417316536,6021.4,1.947620912473076,406.5,0.431338028169014,0.14,0.11,0.1,0.14,0.12,0.12,0.12,0.14,0.08,-0.33333333333333326,0.16,-0.20000000000000007,0.28,-0.0344827586206895,0.34,0.2592592592592593,0.13,0.08333333333333348,3.33,52,6,14,24,7,1,0.036000000000000004,0.244,0.009000000000000001,0.58,0.02,0.37,0.01,0.01,0.0,0.0,0.0,0.48,0.52,0.32,0.22,0.19,0.19,0.08,0.33,0.32,0.22,0.14
0,https://www.niche.com/places-to-live/c/vigo-county-in/,B+,B,B,A,B+,B minus,C,C+,A minus,B+,B,A minus,"Vigo County is located in Indiana with a population of 107,459. In Vigo County, most residents own their homes. Many families and young professionals live in Vigo County and residents tend to lean conservative.",107459,97500,746,45230,-0.5517241379310345,-0.2975517890772128,-0.28026987890457167,0.38,0.62,37.8,-0.8662893526706756,6.6,0.08196721311475419,44.3,0.0884520884520883,157.8,0.16457564575645756,1144.2,1.2879424115176965,3463.8,0.6956138633248483,570.4,1.008450704225352,0.11,0.09,0.15,0.13,0.11,0.12,0.12,0.16,0.1,-0.16666666666666663,0.15,-0.2500000000000001,0.31,0.06896551724137945,0.32,0.18518518518518512,0.12,0.0,4,1,0,1,0,0,0,0.044000000000000004,0.19,0.02,0.85,0.03,0.07,0.03,0.02,0.0,0.0,0.0,0.51,0.49,0.28,0.22,0.23,0.22,0.06,0.35,0.31,0.22,0.12
0,https://www.niche.com/places-to-live/c/broward-county-fl/,A minus,B,C minus,A,A minus,A+,C+,A,C,A+,A,C+,"Broward County is located in Florida with a population of 1,926,205. In Broward County, most residents own their homes. Many young professionals live in Broward County and residents tend to be liberal.",1926205,265000,1392,59547,0.21839080459770122,0.31073446327683607,-0.052448164473370196,0.38,0.62,213.4,-0.24513618677042792,4.3,-0.29508196721311475,27.9,-0.31449631449631454,125.8,-0.0715867158671587,417.2,-0.16576684663067398,2180.4,0.06735852751125915,300.9,0.0595070422535211,0.12,0.1,0.08,0.14,0.13,0.14,0.13,0.16,0.12,0.0,0.2,0.0,0.29,0.0,0.27,0.0,0.11,-0.08333333333333326,4.06,132,46,54,27,4,1,0.04,0.13,0.138,0.36,0.3,0.28,0.02,0.04,0.0,0.01,0.0,0.49,0.51,0.2,0.19,0.22,0.26,0.13,0.26,0.31,0.25,0.19
0,https://www.niche.com/places-to-live/c/wilson-county-tn/,A minus,A minus,A minus,B+,A,B minus,A minus,B minus,B,B+,B+,C minus,"Wilson County is located in Tennessee with a population of 136,666. In Wilson County, most residents own their homes. Many families and young professionals live in Wilson County and residents tend to be conservative.",136666,264600,1065,75991,0.2165517241379311,0.0028248587570620654,0.20921980172811616,0.23,0.77,332,0.1743898125221084,4.4,-0.2786885245901638,52.4,0.28746928746928724,42.2,-0.6885608856088561,247.5,-0.5050989802039592,1845,-0.09682788329743486,198,-0.30281690140845074,0.13,0.11,0.08,0.12,0.14,0.15,0.13,0.15,0.1,-0.16666666666666663,0.22,0.09999999999999987,0.3,0.034482758620689724,0.29,0.07407407407407396,0.08,-0.33333333333333326,3.5,96,8,40,43,2,3,0.025,0.077,0.025,0.85,0.04,0.07,0.02,0.02,0.0,0.0,0.0,0.49,0.51,0.12,0.16,0.21,0.35,0.16,0.24,0.26,0.28,0.22
0,https://www.niche.com/places-to-live/c/lincoln-county-sd/,A minus,B+,A minus,B+,A minus,C+,A+,B minus,B,A,B minus,B,"Lincoln County is located in South Dakota with a population of 56,826. In Lincoln County, most residents own their homes. Many families and young professionals live in Lincoln County and residents tend to be conservative.",56826,228800,963,82473,0.05195402298850582,-0.09322033898305082,0.3123657368362427,0.23,0.77,135.6,-0.5203395825963919,0,-1.0,27.1,-0.33415233415233414,0,-1.0,207.9,-0.5842831433713258,669,-0.6725083219111023,108.5,-0.6179577464788732,0.16,0.12,0.08,0.14,0.15,0.12,0.11,0.12,0.13,0.08333333333333348,0.25,0.25,0.34,0.1724137931034484,0.23,-0.14814814814814814,0.05,-0.5833333333333333,,,,,,,,0.015,0.040999999999999995,0.013999999999999999,0.93,0.02,0.01,0.02,0.01,0.0,0.0,0.0,0.5,0.5,0.09,0.14,0.21,0.38,0.18,0.19,0.26,0.32,0.23
0,https://www.niche.com/places-to-live/c/st-clair-county-il/,A minus,A minus,B minus,A,A,A,C+,B minus,B,B,B+,B,"St. Clair County is located in Illinois with a population of 262,338. In St. Clair County, most residents own their homes. Many families and young professionals live in St. Clair County and residents tend to lean liberal.",262338,128000,861,55179,-0.4114942528735632,-0.18926553672316382,-0.12195471253759371,0.35,0.65,448.4,0.5861337106473292,19.1,2.131147540983607,68.4,0.6805896805896805,115.3,-0.14907749077490773,537.5,0.07478504299140165,1761,-0.13794791462698253,206.3,-0.27359154929577456,0.13,0.11,0.08,0.13,0.13,0.13,0.14,0.15,0.12,0.0,0.16,-0.20000000000000007,0.35,0.2068965517241379,0.28,0.03703703703703698,0.09,-0.25,2.5,2,0,1,0,0,1,0.043,0.145,0.016,0.62,0.04,0.3,0.03,0.01,0.0,0.0,0.0,0.48,0.52,0.23,0.19,0.2,0.27,0.11,0.27,0.28,0.25,0.19
0,https://www.niche.com/places-to-live/c/alfalfa-county-ok/,A minus,A minus,A+,C,B+,B minus,A+,B minus,A,C,D,B+,"Alfalfa County is located in Oklahoma with a population of 5,847. In Alfalfa County, most residents own their homes. Many retirees live in Alfalfa County and residents tend to be conservative.",5847,85700,640,61852,-0.6059770114942529,-0.39736346516007537,-0.01576945721878331,0.2,0.8,257.6,-0.08878669968164121,0,-1.0,0,-1.0,64.4,-0.5247232472324723,708.3,0.4163167366526692,579.5,-0.7163207362443704,64.4,-0.7732394366197183,0.1,0.09,0.06,0.1,0.16,0.15,0.15,0.19,0.07,-0.41666666666666663,0.15,-0.2500000000000001,0.26,-0.10344827586206884,0.37,0.37037037037037024,0.15,0.25,4,1,0,1,0,0,0,0.013999999999999999,0.092,0.02,0.84,0.06,0.03,0.06,0.0,0.02,0.0,0.0,0.6,0.4,0.18,0.18,0.24,0.32,0.08,0.37,0.25,0.22,0.16
0,https://www.niche.com/places-to-live/c/shelby-county-tn/,A minus,B,C+,A,A minus,A,C+,B,B minus,A minus,B+,B,"Shelby County is located in Tennessee with a population of 936,374. In Shelby County, most residents own their homes. Many families and young professionals live in Shelby County and residents tend to be liberal.",936374,150400,942,51657,-0.30850574712643675,-0.11299435028248583,-0.17799914071575196,0.45,0.55,1135.7,3.0173328616908384,22.3,2.655737704918033,76.9,0.8894348894348894,433,2.195571955719557,1217.5,1.4345130973805236,3720.1,0.8210789112982182,512.3,0.8038732394366195,0.14,0.11,0.09,0.15,0.13,0.13,0.12,0.13,0.13,0.08333333333333348,0.19,-0.050000000000000044,0.29,0.0,0.28,0.03703703703703698,0.12,0.0,3.32,136,11,46,58,17,4,0.046,0.191,0.040999999999999995,0.36,0.06,0.53,0.01,0.03,0.0,0.0,0.0,0.48,0.52,0.25,0.19,0.21,0.23,0.11,0.28,0.31,0.23,0.18
0,https://www.niche.com/places-to-live/c/santa-fe-county-nm/,A minus,B minus,C minus,B+,B+,A,B minus,A,C minus,A+,A,B+,"Santa Fe County is located in New Mexico with a population of 149,293. In Santa Fe County, most residents own their homes. Many young professionals and retirees live in Santa Fe County and residents tend to be liberal.",149293,291800,1048,61200,0.34160919540229884,-0.013182674199623379,-0.026144518880384493,0.29,0.71,225.7,-0.2016271666077114,4.5,-0.2622950819672131,42,0.03194103194103182,63.5,-0.5313653136531366,1430.1,1.8596280743851228,2030.1,-0.006216957117681665,250.6,-0.11760563380281697,0.09,0.09,0.07,0.11,0.11,0.13,0.16,0.23,0.21,0.75,0.2,0.0,0.26,-0.10344827586206884,0.22,-0.18518518518518523,0.11,-0.08333333333333326,4.23,43,20,15,6,2,0,0.024,0.127,0.079,0.43,0.51,0.01,0.01,0.01,0.03,0.0,0.0,0.48,0.52,0.18,0.19,0.23,0.27,0.14,0.23,0.29,0.25,0.23
0,https://www.niche.com/places-to-live/c/calumet-county-wi/,A minus,A minus,A minus,A minus,A,C+,A minus,C,B+,A minus,A minus,B,"Calumet County is located in Wisconsin with a population of 49,928. In Calumet County, most residents own their homes. Many families and young professionals live in Calumet County and residents tend to be conservative.",49928,178900,779,75814,-0.17747126436781613,-0.2664783427495292,0.20640325891507416,0.19,0.81,139.4,-0.5068977714892111,0,-1.0,19.9,-0.5110565110565111,10,-0.9261992619926199,10,-0.98000399920016,517.8,-0.7465243783042883,10,-0.9647887323943662,0.12,0.12,0.08,0.11,0.13,0.15,0.14,0.14,0.07,-0.41666666666666663,0.22,0.09999999999999987,0.33,0.13793103448275867,0.31,0.14814814814814814,0.06,-0.5,,,,,,,,0.016,0.057,0.008,0.91,0.04,0.01,0.01,0.02,0.01,0.0,0.0,0.5,0.5,0.12,0.16,0.21,0.39,0.12,0.21,0.25,0.33,0.21
0,https://www.niche.com/places-to-live/c/outagamie-county-wi/,A minus,B+,B+,A,A,B minus,A minus,C,B,A minus,A,B+,"Outagamie County is located in Wisconsin with a population of 185,700. In Outagamie County, most residents own their homes. Many families and young professionals live in Outagamie County and residents tend to lean conservative.",185700,169400,807,65572,-0.22114942528735637,-0.24011299435028244,0.043425679868879685,0.29,0.71,143.8,-0.4913335691545808,1.6,-0.7377049180327868,38.7,-0.0491400491400491,19.8,-0.8538745387453874,180.2,-0.6396720655868826,1622.6,-0.2056980614842373,42.7,-0.8496478873239437,0.13,0.11,0.09,0.13,0.13,0.14,0.14,0.14,0.09,-0.25,0.21,0.04999999999999982,0.33,0.13793103448275867,0.32,0.18518518518518512,0.06,-0.5,,,,,,,,0.02,0.077,0.017,0.88,0.04,0.01,0.02,0.03,0.01,0.0,0.0,0.5,0.5,0.15,0.18,0.24,0.32,0.11,0.23,0.28,0.3,0.19
0,https://www.niche.com/places-to-live/c/cumberland-county-nc/,A minus,B+,C+,A,A,A,C,B,B,A minus,B+,B+,"Cumberland County is located in North Carolina with a population of 332,861. In Cumberland County, most residents own their homes. Many families and young professionals live in Cumberland County and residents tend to lean liberal.",332861,135300,941,46875,-0.37793103448275867,-0.11393596986817323,-0.25409353468166707,0.49,0.51,531.7,0.8807923593915814,11.3,0.8524590163934429,0,-1.0,146.1,0.07822878228782293,875.7,0.7510497900419917,3270.2,0.6008419815938908,192.1,-0.3235915492957747,0.14,0.1,0.13,0.17,0.12,0.11,0.11,0.12,0.09,-0.25,0.17,-0.15000000000000002,0.4,0.3793103448275863,0.26,-0.03703703703703709,0.09,-0.25,3.73,15,3,6,5,1,0,0.051,0.182,0.027000000000000003,0.43,0.12,0.36,0.05,0.02,0.01,0.0,0.0,0.5,0.5,0.26,0.22,0.24,0.23,0.06,0.28,0.34,0.24,0.14
0,https://www.niche.com/places-to-live/c/manatee-county-fl/,A minus,B+,C+,A minus,B+,B+,B+,A,C+,A,A minus,B minus,"Manatee County is located in Florida with a population of 384,213. In Manatee County, most residents own their homes. Many retirees live in Manatee County and residents tend to lean conservative.",384213,238500,1144,59009,0.096551724137931,0.07721280602636527,-0.061009181611317076,0.27,0.73,328.4,0.1616554651574107,9.6,0.5737704918032787,44.3,0.0884520884520883,94.7,-0.30110701107011073,353.5,-0.2931413717256549,1899.5,-0.07014881535147832,118.6,-0.5823943661971831,0.1,0.09,0.07,0.11,0.1,0.12,0.15,0.27,0.12,0.0,0.18,-0.10000000000000009,0.3,0.034482758620689724,0.3,0.11111111111111094,0.1,-0.16666666666666663,4.12,17,5,9,3,0,0,0.032,0.11699999999999999,0.069,0.71,0.16,0.09,0.02,0.02,0.0,0.0,0.0,0.48,0.52,0.18,0.2,0.23,0.27,0.11,0.24,0.34,0.24,0.18
0,https://www.niche.com/places-to-live/c/limestone-county-al/,A minus,B,A,B,A minus,B+,B+,B,A minus,B,B,C,"Limestone County is located in Alabama with a population of 94,727. In Limestone County, most residents own their homes. Many families and young professionals live in Limestone County and residents tend to be conservative.",94727,158800,691,59686,-0.26988505747126434,-0.3493408662900188,-0.050236303168212815,0.22,0.78,0,-1.0,3.8,-0.3770491803278688,0,-1.0,46.1,-0.6597785977859778,330.7,-0.33873225354929015,2295.8,0.12384961817113771,46.1,-0.8376760563380281,0.11,0.11,0.08,0.13,0.14,0.15,0.13,0.15,0.08,-0.33333333333333326,0.17,-0.15000000000000002,0.29,0.0,0.3,0.11111111111111094,0.15,0.25,4.33,3,2,0,1,0,0,0.037000000000000005,0.134,0.021,0.77,0.06,0.14,0.02,0.01,0.01,0.0,0.0,0.5,0.5,0.21,0.16,0.22,0.3,0.11,0.29,0.3,0.23,0.18
0,https://www.niche.com/places-to-live/c/lyon-county-ks/,A minus,B,B,A minus,A minus,A minus,B,B minus,B+,B,B,A,"Lyon County is located in Kansas with a population of 33,251. In Lyon County, most residents own their homes. Many young professionals live in Lyon County and residents tend to lean conservative.",33251,106800,674,46338,-0.5089655172413793,-0.36534839924670437,-0.26263863914835384,0.4,0.6,112.9,-0.6006367173682348,4,-0.34426229508196715,44.3,0.0884520884520883,28.2,-0.7918819188191882,419.3,-0.16156768646270747,2298,0.12492657137262575,108.9,-0.6165492957746479,0.12,0.1,0.18,0.12,0.11,0.11,0.12,0.15,0.11,-0.08333333333333326,0.17,-0.15000000000000002,0.31,0.06896551724137945,0.29,0.07407407407407396,0.12,0.0,,,,,,,,0.032,0.17,0.073,0.71,0.21,0.02,0.03,0.02,0.01,0.0,0.0,0.48,0.52,0.25,0.24,0.23,0.23,0.06,0.32,0.31,0.26,0.11
0,https://www.niche.com/places-to-live/c/nemaha-county-ks/,A minus,A,A+,B,A,C,A,B minus,A minus,C,B minus,A minus,"Nemaha County is located in Kansas with a population of 10,121. In Nemaha County, most residents own their homes. Many young professionals and retirees live in Nemaha County and residents tend to be conservative.",10121,130500,644,63216,-0.4,-0.3935969868173258,0.005935426380026421,0.25,0.75,43.1,-0.8475415634948709,0,-1.0,0,-1.0,0,-1.0,430.8,-0.13857228554289147,1292.3,-0.3673878989622087,86.2,-0.6964788732394367,0.15,0.12,0.08,0.1,0.1,0.12,0.14,0.2,0.08,-0.33333333333333326,0.18,-0.10000000000000009,0.29,0.0,0.4,0.4814814814814814,0.06,-0.5,,,,,,,,0.009000000000000001,0.086,0.003,0.95,0.02,0.01,0.01,0.0,0.01,0.0,0.0,0.51,0.49,0.18,0.18,0.23,0.33,0.07,0.26,0.3,0.28,0.15
0,https://www.niche.com/places-to-live/c/lee-county-ms/,A minus,B+,B+,B+,A minus,A minus,B minus,B,B+,A minus,B,B minus,"Lee County is located in Mississippi with a population of 85,072. In Lee County, most residents own their homes. Many families and young professionals live in Lee County and residents tend to be conservative.",85072,133700,752,50559,-0.3852873563218391,-0.29190207156308856,-0.19547125375936858,0.32,0.68,,,,,,,,,,,,,,,0.14,0.11,0.08,0.13,0.13,0.13,0.12,0.15,0.09,-0.25,0.16,-0.20000000000000007,0.33,0.13793103448275867,0.26,-0.03703703703703709,0.16,0.3333333333333335,3.57,7,0,4,3,0,0,0.037000000000000005,0.145,0.015,0.65,0.03,0.29,0.01,0.01,0.0,0.0,0.0,0.48,0.52,0.25,0.2,0.23,0.25,0.07,0.28,0.33,0.24,0.14
0,https://www.niche.com/places-to-live/c/escambia-county-fl/,A minus,B minus,B minus,A,B+,A,B minus,B+,B,B+,A minus,B+,"Escambia County is located in Florida with a population of 313,491. In Escambia County, most residents own their homes. Many young professionals live in Escambia County and residents tend to be conservative.",313491,146200,983,50915,-0.32781609195402295,-0.0743879472693032,-0.18980634279076425,0.38,0.62,408.7,0.4457021577644147,0,-1.0,53.6,0.31695331695331697,127.6,-0.058302583025830246,558.5,0.11677664467106563,3107,0.5209516350107695,168.3,-0.40739436619718306,0.12,0.09,0.12,0.15,0.11,0.12,0.13,0.17,0.1,-0.16666666666666663,0.17,-0.15000000000000002,0.37,0.27586206896551735,0.27,0.0,0.1,-0.16666666666666663,4,6,3,1,1,1,0,0.038,0.139,0.024,0.64,0.06,0.22,0.05,0.03,0.0,0.0,0.0,0.49,0.51,0.21,0.23,0.24,0.24,0.07,0.29,0.33,0.24,0.14
0,https://www.niche.com/places-to-live/c/harrison-county-ms/,A minus,A minus,B minus,A minus,A,A minus,C,A minus,B,B,B+,B,"Harrison County is located in Mississippi with a population of 204,502. In Harrison County, most residents own their homes. Many families and young professionals live in Harrison County and residents tend to be conservative.",204502,150500,895,47894,-0.3080459770114943,-0.15725047080979282,-0.23787852266760023,0.43,0.57,182.7,-0.3537318712415989,8,0.3114754098360657,50.4,0.23832923832923814,118.4,-0.12619926199261988,1114,1.2275544891021797,4221.2,1.0663794791462697,285.1,0.0038732394366198797,0.14,0.11,0.1,0.14,0.12,0.12,0.13,0.14,0.08,-0.33333333333333326,0.15,-0.2500000000000001,0.36,0.24137931034482762,0.29,0.07407407407407396,0.12,0.0,3.54,41,7,12,19,2,1,0.057999999999999996,0.2,0.022000000000000002,0.64,0.05,0.25,0.03,0.03,0.01,0.0,0.0,0.49,0.51,0.27,0.2,0.23,0.23,0.06,0.3,0.32,0.25,0.13
