,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Participant 3,Intro,Year 1,Year 2,Year 3,Year 4,Year 5,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Specialty Details,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 4,Night float system,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6,Participant 5,Participant 6,Participant 7,Year 6,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,Participant 8,Participant 9,Participant 10,Participant 11,Salary compensation_Year 8,Vacation days_Year 8,Sick days_Year 8,Year 7
0,https://freida.ama-assn.org/program/4801600175,Community-based,Cook County Health and Hospitals System,5,5,No,Yes,July,Yes,No,http://cookcountyhealth.org,Not Available,"Patricia P Vidal
MD
Cook County Health
8th Fl Urology Div
1950 W Polk St
Chicago, IL 60612
Tel: (312) 864-0395
Fax: (312) 864-9066
E-mail: pvidal@cookcountyhhs.org","Maire  Leahy
MHA
Stroger Hosp of Cook County
Ste 614
1900 W Polk St
Chicago, IL 60612
Tel: (312) 864-0395
Fax: (312) 864-9638
E-mail: mleahy2@cookcountyhhs.org",4801600175,"Cook County Health, 8th Fl Urology Div, 1950 W Polk St, Chicago, IL 60612","900 W Polk St, Chicago, IL 60612","500 E 51st St, Chicago, IL 60615","4440 W 95th St, Oak Lawn, IL 60453-4213","1969 Ogden Ave, Chicago, IL 60616",,"Our main site is a Level 1 trauma inner city hospital providing the bulk of our training experience. In addition, our private institution is also a Level 1 trauma hospital. This hospital provides our robotic experience. As of 7/1/2019 urology will no longer require preliminary general surgery year--all five years will be under single program.",2,2,2,2,2,No,No,No,No,10/31/2020,11/19/2020 - 11/19/2020_10/28/2021 - 10/28/2021,9/15/2021,9/30/2021,Yes,18,No,Yes,3,Yes,Yes,215___,Yes,226-235,"No, require USMLE scores for all applicants",No,No Answer,"Desired, with some exceptions",No,No,No,8,0,2,0,10,0,12.5,0.9 to 1,80,24,1,No,,10,0,90,30,70,Every fourth night for 12 week(s),26,N/A,NGO,N/A,NGO,N/A,NGO,N/A,NGO,3,50%,N/A,,"$52,168.00",20,NGO,,,,,,,,,,,,,Yes,90,NGO,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Not available,,Yes,Yes,Yes,,No,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4801621045,University-based,Northwestern Memorial Hospital,5,6,No,Yes,June,Yes,No,https://www.feinberg.northwestern.edu/sites/urology/,Not Available,"Stephanie J Kielb
MD
McGaw Med Ctr Northwestern Univ
Dept of Urology Arkes 2300
676 N St Clair St
Chicago, IL 60611
Tel: (312) 694-6083
Fax: (312) 694-9000
E-mail: k-ross@northwestern.edu","Kelly A Ross
BA
Northwestern Univ Feinberg Sch of Med
Dept of Urology Arkes 23-010
676 N St Clair St
Chicago, IL 60611
Tel: (312) 694-6083
Fax: (312) 694-9000
E-mail: k-ross@northwestern.edu",4801621045,"McGaw Med Ctr Northwestern Univ, Dept of Urology Arkes 2300, 676 N St Clair St, Chicago, IL 60611","420 E Superior St, Chicago, IL 60611","251 E Huron, Chicago, IL 60611","900 W Polk St, Chicago, IL 60612","820 S Damen Ave, Chicago, IL 60680","225 E Chicago Ave, Chicago, IL 60611",,4,4,4,4,4,No,No,No,No,10/31/2020,11/1/2020 - 12/31/2020_10/15/2021 - 12/15/2021,9/15/2021,9/30/2021,Yes,55,No,Yes,3,No,Yes,___,No,No Answer,Yes,No,No Answer,Not required,Yes,Yes,Yes,25,0,2,0,27,0,20,1.0 to 1,80,16,1,Yes,Yes,100,0,0,26.8,73.1,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,4,15%,5%,,"$63,406.00",15,10,"$65,908.00",20,10,"$68,128.00",20,10,"$71,976.00",20,10,"$74,885.00",20,10,Yes,90,60,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Required,(52 wks ),Yes,Yes,No,,,N/A,Not Available,,,,4,"$77,204.00",20,10,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4801621047,,,5,5,No,Yes,"June,July",Yes,No,https://surgery.uchicago.edu/education/urology-residency,Not Available,"Sarah  Faris
MD
Univ of Chicago Med
Sect of Urology Rm J-653 MC 6038
5841 S Maryland Ave
Chicago, IL 60637
Tel: (773) 702-2573
Fax: (773) 702-1001
E-mail: sfaris@surgery.bsd.uchicago.edu","Joanne  Swanson
Univ of Chicago Med
Sect of Urology Rm J-653 MC 6038
5841 S Maryland Ave
Chicago, IL 60637
Tel: (773) 702-9757
Fax: (773) 926-0732
E-mail: jswanson@surgery.bsd.uchicago.edu",4801621047,"Univ of Chicago Med, Sect of Urology Rm J-653 MC 6038, 5841 S Maryland Ave, Chicago, IL 60637","5841 S Maryland Ave, Chicago, IL 60637","2650 Ridge Ave, Evanston, IL 60201-1781","820 S Damen Ave, Chicago, IL 60680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4801621174,,,5,6,No,Yes,June,Yes,No,http://www.urol.uic.edu,Not Available,"Daniel  Garvey
MD
Univ of Illinois Coll of Med Chicago
Ste 515
820 S Wood St
Chicago, IL 60612
Tel: (312) 996-9330
Fax:
E-mail: krisand@uic.edu","Kristin E Anderson
BA
Univ of Illinois Coll of Med Chicago
Ste 515 Clinical Sciences North
820 S Wood St
Chicago, IL 60612-7316
Tel: (312) 996-9331
Fax: (312) 413-0495
E-mail: krisand@uic.edu",4801621174,"Univ of Illinois Coll of Med Chicago, Ste 515, 820 S Wood St, Chicago, IL 60612","1853 W Polk St, Chicago, IL 60612","355 Ridge Ave, Evanston, IL 60202-3399","225 E Chicago Ave, Chicago, IL 60611","836 W Wellington Ave, Chicago, IL 60657-5193","1740 W Taylor St, Chicago, IL 60612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4801631046,,,5,5,No,Yes,July,Yes,No,http://www.rushu.rush.edu,Not Available,"Christopher L Coogan
MD
Rush Univ Med Ctr
Ste 348 PB
1725 W Harrison St
Chicago, IL 60612
Tel: (312) 942-6447
Fax: (312) 942-4005
E-mail: christopher_coogan@rush.edu","Michele  Odierno
BA
Rush Univ Med Ctr
Jelke Bldg Ste 775
1725 W Harrison St
Chicago, IL 60612
Tel: (312) 942-6519
Fax: (312) 942-4005
E-mail: michele_odierno@rush.edu",4801631046,"Rush Univ Med Ctr, Ste 348 PB, 1725 W Harrison St, Chicago, IL 60612","1653 W Congress Pkwy, Chicago, IL 60612","225 E Chicago Ave, Chicago, IL 60611","3001 Green Bay Rd, North Chicago, IL 60064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4801621166,University-based,Loyola University Medical Center,5,6,No,Yes,July,Yes,No,http://www.stritch.luc.edu/depts/urology/residency.htm,Not Available,"Thomas M T Turk
MD, MS
Loyola Univ Med Ctr
A-353100 Bldg 54 Rm 239A
2160 S First Ave
Maywood, IL 60153
Tel: (708) 216-8152
Fax: (708) 216-6585
E-mail: tturk@lumc.edu","Susan  DiSalvo
Loyola Univ Med Ctr
Dept of Urology Bldg 54 Rm 240A
2160 S First Ave
Maywood, IL 60153-5585
Tel: (708) 216-8467
Fax: (708) 216-6585
E-mail: sdisalvo@lumc.edu",4801621166,"Loyola Univ Med Ctr, A-353100 Bldg 54 Rm 239A, 2160 S First Ave, Maywood, IL 60153","2160 S First Ave, Maywood, IL 60153-5585","5th Ave & Roosevelt Rd, Hines, IL 60141","225 E Chicago Ave, Chicago, IL 60611",,,"Our program offers qualified candidates a well-structured, comprehensive educational experience geared to producing an exceptionally well-trained, modern-day urologist. The program is designed to provide a well-balanced education that prepares residents for careers in clinical or academic urology; the opportunity to become skilled in performing various surgical and technical procedures; guidance in assuming responsibility and interpersonal skills essential to a compassionate physician.",3,3,3,3,3,No,No,No,No,11/1/2020,11/24/2020 - 12/11/2020_10/29/2021 - 11/11/2021,9/15/2021,9/30/2021,No,60,No,Yes,2,No,Yes,220_220_550_,Yes,210-225,Yes,"No, require USMLE scores for all applicants",541-600,"Desired, with some exceptions",Yes,No,No,13,4,2,0,15,4,23,0.9 to 1,70,24,1.5,No,,100,0,0,26.6,73.3,Two times per week for 4 week(s),NGO,Two times per week for 4 week(s),NGO,Other for 4 week(s),25,N/A,4,Other for week(s),32,6,35%,N/A,,"$59,862.00",20,12,"$63,731.00",20,12,"$65,728.00",20,12,"$69,062.00",20,12,"$72,280.00",20,12,Yes,32,NGO,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Required,(52 wks ),No,No,No,,No,,,,,,,"$75,202.00",20,12,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4801600176,,,5,5,No,Yes,July,Yes,No,http://franciscanhealth.org,Not Available,"James J Siegert
DO
Franciscan Health-Olympia Fields
Urology Pgm
20201 S Crawford Ave
Olympia Fields, IL 60461-0001
Tel: (708) 679-2270
Fax:
E-mail: deborah.mussman@franciscanalliance.org","Debbie  Mussman
Franciscan Health-Olympia Fields
Urology Pgm
20201 S Crawford Ave
Olympia Fields, IL 60461
Tel: (708) 747-4000
Fax:
E-mail: deborah.mussman@franciscanalliance.org",4801600176,"Franciscan Health-Olympia Fields, Urology Pgm, 20201 S Crawford Ave, Olympia Fields, IL 60461-0001","20201 S Crawford Ave, Olympia Fields, IL 60461","225 E Chicago Ave, Chicago, IL 60611","4440 W 95th St, Oak Lawn, IL 60453-4213","333 N Madison St, Joliet, IL 60435","1900 Silver Cross Blvd, New Lenox, IL 60451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4801621050,Community-based university affiliated,Southern Illinois University School of Medicine,5,5,No,Yes,June,Yes,No,http://www.siumed.edu/surgery/urology/residency.html,Not Available,"Ranjiv  Mathews
MD
Southern Illinois Univ Sch of Med
PO Box 19665 Rm 4B143
747 N Rutledge
Springfield, IL 62794-9665
Tel: (217) 545-3262
Fax: (217) 545-7305
E-mail: rmathews94@siumed.edu","Barbara  Robinson
Southern Illinois Univ Sch of Med
Div of Urology PO Box 19665
747 N Rutledge
Springfield, IL 62794-9665
Tel: (217) 545-3262
Fax: (217) 545-7305
E-mail: brobinson57@siumed.edu",4801621050,"Southern Illinois Univ Sch of Med, PO Box 19665 Rm 4B143, 747 N Rutledge, Springfield, IL 62794-9665","801 N Rutledge, Springfield, IL 62794-9620","800 E Carpenter St, Springfield, IL 62769","701 N 1st St, Springfield, IL 62781-0001",,,,2,2,2,2,2,No,No,No,No,10/16/2020,11/18/2020 - 1/6/2021_11/1/2021 - 1/8/2022,7/1/2021,10/21/2021,Yes,60,No,Yes,2,No,Yes,210___,No,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,8,4,0,0,8,4,37.5,0.8 to 1,80,24,1,No,,96.2,0,3.7,7,92.9,N/A,NGO,N/A,NGO,N/A,NGO,N/A,NGO,N/A,NGO,5,50%,50%,,"$57,352.00",21,14,"$57,909.00",21,14,"$59,045.00",21,14,"$60,060.00",21,14,"$61,261.00",21,14,No answer,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Required,(4 wks ),Yes,Yes,Yes,,No,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4801721051,University-based,Indiana University School of Medicine,5,5,No,Yes,July,Yes,No,https://medicine.iu.edu/urology,Urology Residency at IU School of Medicine,"Chandru P Sundaram
MD, MS
Indiana Univ Med Ctr
Ste 420
535 Barnhill Dr
Indianapolis, IN 46202
Tel: (317) 948-3098
Fax: (317) 944-0174
E-mail: sundaram@iupui.edu","Josie  Gingrich
Indiana Univ Med Ctr
Ste 150
535 Barnhill Dr
Indianapolis, IN 46202
Tel: (317) 278-0221
Fax: (317) 278-0499
E-mail: jmgingri@iu.edu",4801721051,"Indiana Univ Med Ctr, Ste 420, 535 Barnhill Dr, Indianapolis, IN 46202","1120 South Dr, Indianapolis, IN 46202-5114","720 Eskenazi Ave, Indianapolis, IN 46202","1701 N Senate Blvd, Indianapolis, IN 46202","1481 W 10th St, Indianapolis, IN 46202-2884","550 N University Blvd, Indianapolis, IN 46202",,4,4,4,4,4,No,Yes,No,No,9/15/2020,11/9/2020 - 12/15/2020_-,,,No,54,No,Yes,3,No,Yes,240___,No,Greater than 245,"No, require USMLE scores for all applicants",No Answer,No Answer,Not known,Yes,No,No,28,7,0,0,28,7,17.8,1.4 to 1,50,24,1,No,Yes,96.6,3.3,0,32.6,67.3,Every fourth night for 12 month(s),49,Every sixth night for 12 month(s),49,Every fifth night for 12 month(s),49,Every fifth night for 12 month(s),49,N/A,48,3,15%,N/A,,"$57,174.00",21,Not Available,"$58,558.00",21,NGO,"$60,187.00",28,NGO,"$62,199.00",28,NGO,"$64,361.00",28,NGO,Yes,42,42,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Not available,,No,No,No,"702 Barnhill Dr, Indianapolis, IN 46202-1367",,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4801921053,,,5,5,No,Yes,July,Yes,No,http://www.kumc.edu/school-of-medicine/urology.html,Not Available,"Moben  Mirza
MD
Univ of Kansas Med Ctr
Dept of Urology MS 3016
3901 Rainbow Blvd
Kansas City, KS 66160
Tel: (913) 945-6432
Fax: (913) 588-7625
E-mail: mmirza@kumc.edu","Debra S DeConink
Univ of Kansas Med Ctr
Dept of Urology
3901 Rainbow Blvd
Kansas City, KS 66160-7390
Tel: (913) 588-3173
Fax: (913) 588-7625
E-mail: ddeconink@kumc.edu",4801921053,"Univ of Kansas Med Ctr, Dept of Urology MS 3016, 3901 Rainbow Blvd, Kansas City, KS 66160","3901 Rainbow Blvd, Kansas City, KS 66160-7100","3901 Rainbow Blvd, Kansas City, KS 66160-7220","4801 Linwood Blvd, Kansas City, MO 64128-2295","2301 Holmes St, Kansas City, MO 64108-2640","2401 Gillham Rd, Kansas City, MO 64108-9898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1600 E Evergreen St, Cameron, MO 64429",,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4802021054,,,5,5,No,Yes,July,Yes,No,http://urology.med.uky.edu/,Not Available,"Jason R Bylund
MD
Univ of Kentucky Med Ctr
Dept of Urology MS-277
800 Rose St
Lexington, KY 40536
Tel: (859) 323-7006
Fax: (859) 323-1944
E-mail: jrbylu2@uky.edu","Stephanie  Gaiser
MS
Univ of Kentucky Med Ctr
Dept of Urology MS-276C
800 Rose St
Lexington, KY 40536-0298
Tel: (859) 323-1898
Fax: (859) 323-1944
E-mail: stephanie.gaiser@uky.edu",4802021054,"Univ of Kentucky Med Ctr, Dept of Urology MS-277, 800 Rose St, Lexington, KY 40536","800 Rose St, Lexington, KY 40536","800 Rose St, Lexington, KY 40536-0293","1 St Joseph Dr, Lexington, KY 40504-3754","1101 Veteran's Dr, Lexington, KY 40502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4802021186,,,5,5,No,Yes,July,Yes,No,http://louisville.edu/medicine/departments/urology,Not Available,"Murali K Ankem
MD, MBA
Univ of Louisville Sch of Med
Ste 270
501 E Broadway St
Louisville, KY 40202
Tel: (502) 588-4299
Fax: (502) 588-9537
E-mail: cindy.brown@louisville.edu","Cindy A Brown
Univ of Louisville Sch of Med
Ste 270
501 E Broadway St
Louisville, KY 40202
Tel: (502) 588-4299
Fax: (502) 588-9537
E-mail: cindy.brown@louisville.edu",4802021186,"Univ of Louisville Sch of Med, Ste 270, 501 E Broadway St, Louisville, KY 40202","323 E Chestnut St, Louisville, KY 40202","530 S Jackson St, Louisville, KY 40202-3611","217 E Chestnut St, Louisville, KY 40202","800 Zorn Ave, Louisville, KY 40206-1499","200 E Chestnut St, Louisville, KY 40217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"231 E Chestnut St, Louisville, KY 40232-5070",,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4802100177,,,5,5,No,Yes,July,Yes,No,http://www.lsuurology.com,Not Available,"Scott E Delacroix
MD
LSU Health Sciences Ctr New Orleans
Dept of Urology Ste 547
1542 Tulane Ave
New Orleans, LA 70112
Tel: (504) 568-2853
Fax: (504) 568-3990
E-mail: sdelac@lsuhsc.edu","Linda  Arruebarrena
LSU Health Sciences Ctr New Orleans
Dept of Urology Ste 547
1542 Tulane Ave
New Orleans, LA 70112
Tel: (504) 568-2853
Fax:
E-mail: larrue@lsuhsc.edu",4802100177,"LSU Health Sciences Ctr New Orleans, Dept of Urology Ste 547, 1542 Tulane Ave, New Orleans, LA 70112","2020 Gravier St, New Orleans, LA 70112","2021 Perdido St, New Orleans, LA 70112-1396","1401 Foucher St, New Orleans, LA 70115-3593","200 Henry Clay Ave, New Orleans, LA 70118","4200 Houma Blvd, Metairie, LA 70006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4802121058,,,5,5,No,Yes,July,Yes,No,https://medicine.tulane.edu/departments/urology/academic-programs/residency,Not Available,"Raju  Thomas
MD, MHA
Tulane Univ Health Sciences Ctr
Dept of Urology
1430 Tulane Ave
New Orleans, LA 70112
Tel: (504) 988-2794
Fax: (504) 988-5059
E-mail: rthomas@tulane.edu","Demi  Robert
Tulane Univ Sch of Med
8642
1430 Tulane Ave
New Orleans, LA 70112
Tel: (504) 988-2794
Fax: (504) 988-5059
E-mail: drobert@tulane.edu",4802121058,"Tulane Univ Health Sciences Ctr, Dept of Urology, 1430 Tulane Ave, New Orleans, LA 70112","1430 Tulane Ave, New Orleans, LA 70112-2699","1415 Tulane Ave, New Orleans, LA 70112","1401 Foucher St, New Orleans, LA 70115-3593","2021 Perdido St, New Orleans, LA 70112-1396","200 Henry Clay Ave, New Orleans, LA 70118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1101 Medical Center Blvd, Marrero, LA 70072",,,,"4700 I-10 Service Rd W, Metairie, LA 70001","1601 Perdido St, New Orleans, LA 70112",,,,,,,,,,,,,,,,
