,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Participant 3,Participant 4,Participant 5,Intro,,Year 1,Year 2,Year 3,Year 4,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Program best described as,Primary teaching site,Night float system (Residents participate during first year),Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11,Year 5,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Year 6,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Specialty Details,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,Salary compensation_Year 8,Vacation days_Year 8,Sick days_Year 8,Year 7,,,
0,https://freida.ama-assn.org/program/4404112279,5,5,No,Yes,"June,July",Yes,No,http://www.abingtonhealth.org/academic-programs/resident-training-programs/,Not Available,"Robert K Josloff
MD
Abington Hosp
Price Med Office Bldg Ste 604
1200 Old York Rd
Abington, PA 19001
Tel: (215) 481-7460
Fax: (215) 481-2159
E-mail: rebecca.augustine@jefferson.edu","Rebecca T Augustine
Abington Hosp
Price Med Office Bldg Ste 604
1200 Old York Rd
Abington, PA 19001
Tel: (215) 481-7320
Fax: (215) 481-2159
E-mail: rebecca.augustine@jefferson.edu",4404112279,"Abington Hosp, Price Med Office Bldg Ste 604, 1200 Old York Rd, Abington, PA 19001","1200 Old York Rd, Abington, PA 19001-3788","34th St & Civic Center Blvd, Philadelphia, PA 19104","111 S 11th St, Philadelphia, PA 19107-5096","3401 N Broad St, Philadelphia, PA 19140",,,,"Large and varied case mix allows excellent operative experience for all residents, including PGY1s. Residents train in a friendly, comfortable environment with inter-resident camaraderie and close relationships with the attending faculty.",,9,5,5,5,No,Yes,"Yes , Codes: 1600440C0,1600440P0",No,1/15/2021,11/1/2020 - 1/30/2021_11/1/2021 - 1/30/2022,9/15/2021,1/30/2022,Yes,125,No,No,3,No,Yes,225_225__,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,Yes,9,0,15,0,24,0,22.2,0.5 to 1,74,24,1.5,No,,65.9,29.3,4.6,44.6,55.3,Every seventh night for 12 month(s),0,Every seventh night for 12 month(s),0,Every seventh night for 12 month(s),0,Every tenth night for 12 month(s),5,5,10%,5%,"$61,200.00",21,NGO,"$62,700.00",21,NGO,"$64,700.00",21,NGO,"$67,800.00",21,NGO,Yes,NGO,NGO,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Optional,Yes,Yes,Yes,Community-based university affiliated,Abington Hospital-Jefferson Health,Yes,,,,,,,5,Every tenth night for 12 month(s),5,"$70,400.00",21,NGO,,,,,,,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.",,,,,,,,,,
0,https://freida.ama-assn.org/program/4404121280,5,5,Yes,Yes,June,Yes,No,https://www.lvhn.org/education/residency-and-fellowship-opportunities/,Not Available,"Daniel M Relles
MD
Lehigh Valley Health Network
Dept of Surgery PO Box 1806
1 City Center
Allentown, PA 18105-1806
Tel: (484) 862-3256
Fax: (484) 862-3276
E-mail: daniel.relles@lvhn.org","Kaitlyn  Soranno
MHA
Lehigh Valley Health Network
PO Box 1806
1 City Center
Allentown, PA 18105-1556
Tel: (484) 862-3256
Fax: (484) 862-3276
E-mail: kaitlyn.soranno@lvhn.org",4404121280,"Lehigh Valley Health Network, Dept of Surgery PO Box 1806, 1 City Center, Allentown, PA 18105-1806","Cedar Crest Blvd & I-78, Allentown, PA 18105-1556",,,,,,,"Large amount of clinical volume, including advanced laparoscopic procedures. Defined surgical skills lab curriculum for PGY1-3. Laparoscopic and robotic simulators. Level I trauma center; regional burn center.",,8,6,6,6,No,Yes,"Yes , Codes: 1601440C0,1601440P1",No,,-_-,,,No,60,No,No,3,No,Yes,___,Yes,210-225,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",No,No,No,47,0,2,0,49,0,21.2,1.5 to 1,80,24,1,No,,86.3,9.9,3.7,43.7,56.2,Other for 44 week(s),0,Other for 44 week(s),8,Other for 46 week(s),8,Other for 52 week(s),8,5,10%,5%,"$60,475.00",15,12,"$63,550.00",15,12,"$66,523.00",15,12,"$70,110.00",15,12,No answer,12,NGO,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Not available,No,No,Yes,Community-based university affiliated,Lehigh Valley Health Network,Yes,,,,,,,6,Other for 44 week(s),Not Available,"$73,493.00",15,12,,,,,,,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.",,,,,,,,,,
0,https://freida.ama-assn.org/program/4404121398,5,5,No,Yes,July,Yes,No,http://www.slhn.org,Not Available,"Brian A Hoey
MD
St Luke's Univ Hosp
General Surgery Pgm
801 Ostrum St
Bethlehem, PA 18015
Tel: (484) 526-2255
Fax: (484) 526-0226
E-mail: brian.hoey@sluhn.org","Erin M Arnold
St Luke's Univ Hosp
General Surgery Pgm
801 Ostrum St
Bethlehem, PA 18015
Tel: (484) 526-2255
Fax: (484) 526-0226
E-mail: erin.arnold@sluhn.org",4404121398,"St Luke's Univ Hosp, General Surgery Pgm, 801 Ostrum St, Bethlehem, PA 18015","801 Ostrum St, Bethlehem, PA 18015","3400 Spruce St, Philadelphia, PA 19104-4283","34th St & Civic Center Blvd, Philadelphia, PA 19104","111 S 11th St, Philadelphia, PA 19107-5096","1872 St Luke's Blvd, Easton, PA 18045",,,"St Luke's is a 436-bed, Level I trauma center, university hospital. GME is central to our mission. Residents obtain an exemplary experience in open, laparoscopic, and robotic surgery. 100% of our graduates seeking fellowships have been accepted.",,4,4,4,4,No,No,"Yes , Codes: 1605440C0",No,1/1/2021,10/26/2020 - 1/29/2021_10/18/2021 - 1/31/2022,8/3/2021,1/1/2022,Yes,75,No,No,3,No,Yes,220_220__,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,35,0,0,0,35,0,14.2,1.7 to 1,75,16,1,No,,75.1,16.6,8.1,41.8,58.1,Every third night for 49 week(s),0,Every third night for 49 week(s),0,Every third night for 49 week(s),0,Every third night for 49 week(s),12,6,10%,10%,"$59,133.00",15,12,"$62,732.00",15,12,"$65,248.00",15,12,"$68,029.00",15,12,Yes,12,365,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,University-based,St Luke's University Hospital,Yes,,,,,,,4,N/A,48,"$70,767.00",15,12,,,,,,,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.",,,,,,,,,,
0,https://freida.ama-assn.org/program/4404100406,5,5,No,Yes,July,Yes,No,http://www.crozerkeystone.org/services/surgery/,Not Available,"Mark B Kahn
MD
Crozer-Chester Med Ctr
3rd Fl Central Surgery
1 Medical Center Blvd
Chester, PA 19103
Tel: (610) 447-2768
Fax:
E-mail: mark.kahn@crozer.org","Maria  Fuentes
BA
Crozer-Chester Med Ctr
3rd Fl Central Surgery
1 Medical Center Blvd
Chester, PA 19103
Tel: (610) 447-2768
Fax:
E-mail: maria.fuentes@crozer.org",4404100406,"Crozer-Chester Med Ctr, 3rd Fl Central Surgery, 1 Medical Center Blvd, Chester, PA 19103","1 Medical Center Blvd, Upland, PA 19013-3995","1600 Rockland Rd, Wilmington, DE 19899-0269","1275 York Ave, New York, NY 10021","501 N Landsowne Ave, Drexel Hill, PA 19026",,,,,,3,3,3,3,No,No,"Yes , Codes: 3185440C0",No,12/1/2020,11/2/2020 - 2/26/2021_11/1/2021 - 1/28/2022,5/21/2020,12/1/2021,Yes,100,No,No,3,No,Yes,194_209__,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",No,No,No,23,0,1,0,24,0,30.4,1.5 to 1,65,24,1,No,No,,,,,,Three times per week for 8 month(s),0,Every fourth night for 12 month(s),0,Every fourth night for 12 month(s),0,Every fifth night for 12 month(s),0,4,10%,N/A,"$58,900.00",15,Not Available,"$60,900.00",20,Not Available,"$63,610.00",20,Not Available,"$66,228.00",20,Not Available,No,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Not available,No,No,Yes,Community-based,Crozer-Chester Medical Center,,,,,,,,3,Every fifth night for 12 month(s),Not Available,"$69,381.00",20,Not Available,,,,,,,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.",,,,,,,,,,
0,https://freida.ama-assn.org/program/4404121283,5,5,No,Yes,July,Yes,No,http://www.geisinger.edu,Not Available,"Mohsen M Shabahang
MD, PhD
Geisinger Med Ctr
Dept of General Surgery
100 N Academy Ave
Danville, PA 17822-2169
Tel: (570) 271-6387
Fax: (570) 271-8324
E-mail: mmshabahang@geisinger.edu","Jennifer J Wolfe
BA
Geisinger Med Ctr
Dept of General Surgery
100 N Academy Ave
Danville, PA 17822-2169
Tel: (570) 271-6387
Fax: (570) 271-8324
E-mail: jjwolfe@geisinger.edu",4404121283,"Geisinger Med Ctr, Dept of General Surgery, 100 N Academy Ave, Danville, PA 17822-2169","100 N Academy Ave, Danville, PA 17822","100 N Academy Ave, Danville, PA 17822-2201","400 Highland Ave, Lewistown, PA 17044","549 Fair St, Bloomsburg, PA 17815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4404131297,5,5,No,Yes,July,Yes,No,http://www.mercyhealth.org,Not Available,"Karen  Kish
MD
Mercy Catholic Med Ctr
Dept of Surgery
1500 Lansdowne Ave
Darby, PA 19023
Tel: (610) 237-4960
Fax: (610) 237-4329
E-mail: kkish@mercyhealth.org","Shayna  Caliman
Mercy Catholic Med Ctr
Dept of Surgery
1500 Lansdowne Ave
Darby, PA 19023
Tel: (610) 237-4950
Fax: (610) 237-4329
E-mail: shayna.caliman@mercyhealth.org",4404131297,"Mercy Catholic Med Ctr, Dept of Surgery, 1500 Lansdowne Ave, Darby, PA 19023","1 W Elm St, Conshohocken, PA 19428","1500 S Lansdowne Ave, Darby, PA 19023","3400 Spruce St, Philadelphia, PA 19104-4283","34th St & Civic Center Blvd, Philadelphia, PA 19104","5301 Cedar Ave, Philadelphia, PA 19143","2601 Holme Ave, Philadelphia, PA 19152",,Suburban/urban exposure with excellent operative experience. Rotations at Penn Presbyterian in trauma and SICU, CHOP in pediatric surgery. Size permits individual resident attention. Research experience in 5-year program. Graduates successful in obtaining fellowships.,,4,2,2,2,No,Yes,"Yes , Codes: 1636440C0,1636440P0",No,12/31/2020,11/1/2020 - 1/10/2021_11/1/2021 - 1/10/2022,10/1/2021,12/30/2021,Yes,80,No,No,4,No,Yes,210_221_500_500,Yes,236-245,Yes,Yes,541-600,"Desired, with some exceptions",Yes,No,No,10,0,1,0,11,0,10,0.8 to 1,80,24,1,No,,72.5,13.5,13.9,44.8,55.1,Two times per week for 1 month(s),0,Two times per week for 1 month(s),0,Two times per week for 1 month(s),0,Two times per week for 1 month(s),NGO,5,20%,0%,"$58,302.00",15,7,"$60,632.00",20,7,"$62,857.00",20,7,"$65,499.00",20,7,Yes,20,20,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Not available,Yes,Yes,Yes,Community-based university affiliated,Mercy Fitzgerald Hospital,Yes,,,,,,,2,N/A,NGO,"$69,014.00",20,7,,,,,,,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.",,,,,,,,,
0,https://freida.ama-assn.org/program/4404131284,5,5,No,Yes,July,Yes,No,,Not Available,"Harjeet  Kohli
MD
Easton Hosp
Dept of Surgery
250 S 21st St
Easton, PA 18042
Tel: (610) 250-4375
Fax: (610) 250-4851
E-mail: harjeet.kohli@steward.org","Kim  Agretto
Easton Hosp
Dept of Surgery
250 S 21st St
Easton, PA 18042
Tel: (610) 250-4375
Fax:
E-mail: kimberly.agretto@steward.org",4404131284,"Easton Hosp, Dept of Surgery, 250 S 21st St, Easton, PA 18042","801 Ostrum St, Bethlehem, PA 18015","250 S 21st St, Easton, PA 18042-3892","3400 Spruce St, Philadelphia, PA 19104-4283","34th St & Civic Center Blvd, Philadelphia, PA 19104","Cedar Crest Blvd & I-78, Allentown, PA 18105-1556",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4404100402,5,5,No,Yes,July,Yes,No,,Not Available,"Jon R Henwood
DO
UPMC Horizon
Surgery Pgm
2200 Memorial Dr
Farrell, PA 16121
Tel: (724) 983-7511
Fax: (724) 983-7930
E-mail: shermanpj@upmc.edu","Patricia J Sherman
UPMC Horizon
Surgery Pgm
2200 Memorial Dr
Farrell, PA 16121
Tel: (724) 983-7511
Fax:
E-mail: shermanpj@upmc.edu",4404100402,"UPMC Horizon, Surgery Pgm, 2200 Memorial Dr, Farrell, PA 16121","3600 Forbes Ave, Pittsburgh, PA 15213","2200 Memorial Dr, Farrell, PA 16121","201 State St, Erie, PA 16550-0001","45th & Penn Ave, Pittsburgh, PA 15201","5230 Centre Ave, Pittsburgh, PA 15232","9100 Babcock Blvd, Pittsburgh, PA 15237-5842","1211 Wilmington Ave, New Castle, PA 16105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4404121384,5,5,No,Yes,July,Yes,No,http://www.pinnaclehealth.org,Not Available,"Harold C Yang
MD, PhD
UPMC Pinnacle
General Surgery Pgm Brady 9
205 S Front St
Harrisburg, PA 17104
Tel: (717) 231-8755
Fax:
E-mail: yanghc@upmc.edu","Jo A Ross
UPMC Pinnacle
General Surgery Pgm Brady 9
205 S Front St
Harrisburg, PA 17104
Tel: (717) 231-8755
Fax: (717) 231-8756
E-mail: rossj14@upmc.edu",4404121384,"UPMC Pinnacle, General Surgery Pgm Brady 9, 205 S Front St, Harrisburg, PA 17104","111 S Front St, Harrisburg, PA 17105-8700","111 S Front St, Harrisburg, PA 17105-8700","22 S Greene St, Baltimore, MD 21201-1595","500 University Dr, Hershey, PA 17033-0850","4300 Londonderry Rd, Harrisburg, PA 17109","1995 Technology Pkwy, Mechanicsburg, PA 17050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4404100403,5,5,No,Yes,July,Yes,No,,Not Available,"Luciano A DiMarco
DO
UPMC Pinnacle Hosps
Surgery Pgm
4300 Londonderry Rd
Harrisburg, PA 17109
Tel: (717) 657-7484
Fax: (717) 657-7555
E-mail: ldimarco@pinnaclehealth.org","Lynette A Morrell
UPMC Pinnacle Hosps
Surgery Pgm
4300 Londonderry Rd
Harrisburg, PA 17109
Tel: (717) 657-7484
Fax: (717) 657-7555
E-mail: lmorrell@pinnaclehealth.org",4404100403,"UPMC Pinnacle Hosps, Surgery Pgm, 4300 Londonderry Rd, Harrisburg, PA 17109","111 S Front St, Harrisburg, PA 17105-8700","4300 Londonderry Rd, Harrisburg, PA 17109","22 S Greene St, Baltimore, MD 21201-1595","111 S Front St, Harrisburg, PA 17105-8700","500 University Dr, Hershey, PA 17033-0850","5230 Centre Ave, Pittsburgh, PA 15232","1995 Technology Pkwy, Mechanicsburg, PA 17050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4404121287,5,7,No,Yes,July,Yes,No,http://www.pennstatehershey.org/web/generalsurgery/education/residency,Not Available,"Brian  Saunders
MD
Penn State Hershey Med Ctr
PO Box 850 H-159
500 University Dr
Hershey, PA 17033
Tel: (717) 531-8557
Fax: (717) 531-5393
E-mail: bsaunders@pennstatehealth.psu.edu","Stephanie M States
Penn State Hershey Med Ctr
Dept of Surgery H159 PO Box 850
500 University Dr
Hershey, PA 17033-0850
Tel: (717) 531-8557
Fax: (717) 531-5393
E-mail: sstates@pennstatehealth.psu.edu",4404121287,"Penn State Hershey Med Ctr, PO Box 850 H-159, 500 University Dr, Hershey, PA 17033","500 University Dr, Hershey, PA 17033-0850","111 S Front St, Harrisburg, PA 17105-8700","1700 S Lincoln Ave, Lebanon, PA 17042-7597",,,,,"American College of Surgeons Level I education institute, FLS and FES testing center. 524-acre campus situated a few miles outside of Harrisburg, capital city of Pennsylvania.",,17,8,5,5,No,Yes,"Yes , Codes: 1617440P0,1617440P2,1617440C0",No,10/21/2020,11/14/2020 - 1/30/2021_11/6/2021 - 1/15/2022,9/1/2021,10/22/2021,No,150,No,No,3,No,Yes,___,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,No,No,46,0,0,0,46,0,41.3,1.1 to 1,72,24,1,No,,95.9,4,0,51.1,48.8,Once per week for 2 month(s),0,Once per week for 2 month(s),0,Once per week for 2 month(s),12,Two times per week for 6 month(s),24,5,20%,10%,"$60,632.00",15,NGO,"$62,684.00",15,NGO,"$64,735.00",15,NGO,"$67,321.00",15,NGO,No answer,15,75,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Optional,Yes,Yes,Yes,University-based,Penn State Milton S Hershey Medical Center,Yes,,,,,,,5,Two times per week for 3 month(s),36,"$69,886.00",15,NGO,,,,Not Available,Not Available,Not Available,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.",Not Available,Not Available,Not Available,,,,,,,
0,https://freida.ama-assn.org/program/4404111288,5,5,No,Yes,July,Yes,No,https://www.conemaugh.org,Not Available,"Shawna L Morrissey
DO
Conemaugh Memorial Med Ctr
GS G54
1086 Franklin St
Johnstown, PA 15905
Tel: (814) 534-1660
Fax: (814) 534-1680
E-mail: smorriss@conemaugh.org","Nori  Lamberson
Conemaugh Memorial Med Ctr
GS G54
1086 Franklin St
Johnstown, PA 15905
Tel: (814) 534-1660
Fax: (814) 534-1680
E-mail: llambers@conemaugh.org",4404111288,"Conemaugh Memorial Med Ctr, GS G54, 1086 Franklin St, Johnstown, PA 15905","1086 Franklin St, Johnstown, PA 15905","45th & Penn Ave, Pittsburgh, PA 15201","One Mellon Way, Latrobe, PA 15650","5230 Centre Ave, Pittsburgh, PA 15232","532 W Pittsburgh St, Greensburg, PA 15601",,,"Program provides surgical skills lab, cadaver lab and daVinci robotics. GI Mentor trainer for FES preparation.",,5,3,3,4,No,Yes,"Yes , Codes: 1616440P0,1616440C0",No,12/31/2020,11/6/2020 - 1/15/2021_11/5/2021 - 1/14/2022,9/20/2021,12/31/2021,Yes,42,No,No,3,No,Yes,230_230_500_500,Yes,236-245,Yes,Yes,Greater than 600,Required,Yes,No,No,10,0,4,0,14,0,40,0.7 to 1,80,16,1,No,,7.3,55.5,37,40.5,59.4,Two times per week for week(s),0,Two times per week for week(s),0,Two times per week for week(s),0,Two times per week for week(s),0,4,27%,N/A,"$60,250.00",Not Available,22,"$63,000.00",Not Available,22,"$66,500.00",Not Available,22,"$69,000.00",Not Available,22,No,22,NGO,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Optional,Yes,Yes,Yes,Community-based university affiliated,Conemaugh Memorial Medical Center,Yes,,,,,,,2,Two times per week for week(s),Not Available,"$71,000.00",Not Available,22,,,,,,,"Recent data from the American Board of Surgery on cumulative certifying examinations' pass rates can be found at their web site, www.absurgery.org.",,,,,,,,,,
0,https://freida.ama-assn.org/program/4404121300,5,5,No,Yes,June,Yes,No,http://www.temple.edu/medicine/surgery,Not Available,"Howard M Ross
MD
Temple Univ Hosp
Surgery Pgm
3401 N Broad St
Philadelphia, PA 19140
Tel: (215) 707-3632
Fax:
E-mail: howard.ross@tuhs.temple.edu","Kiesba J Herrin
Temple Univ Hosp
Surgery Pgm Ste 401
3401 N Broad St
Philadelphia, PA 19140
Tel: (215) 707-3632
Fax:
E-mail: kiesba.herrin@tuhs.temple.edu",4404121300,"Temple Univ Hosp, Surgery Pgm, 3401 N Broad St, Philadelphia, PA 19140","3401 N Broad St, Philadelphia, PA 19140","1505 W Sherman Ave, Vineland, NJ 08360","3601 A St, Philadelphia, PA 19134","333 Corrman Ave, Philadelphia, PA 19111","7600 Central Ave, Philadelphia, PA 19111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
